LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,,DECEMBER 2024,,,January 2025,,,February 2025,,,March 2025,,,April 2025,,,May 2025,,,June 2025,,,July 2025,,,August 2025,,,September 2025,,,October 2025,,,November 2025,,,December 2025,,
14-044-02-000,14-44-02-000,"Bauko, Mountain Province",Bauko,Mountain Province,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B,B,#REF!,#REF!,https://bpbc.ibpls.com/baukomountainprovince,https://prod.ebpls.com/baukomtprovince,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-013-01-000,10-13-01-000,"Baungon, Bukidnon",Baungon,Bukidnon,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#REF!,#REF!,https://bpbc.ibpls.com/baungonbukidnon,https://prod.ebpls.com/baungonbukidnon,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,Will avail eLGU instead,[8] Withdraw,[D] Withdraw,Will avail eLGU instead,[8] Withdraw,[D] Withdraw,Will avail eLGU instead,[8] Withdraw,[D] Withdraw,Will avail eLGU instead,[8] Withdraw,[D] Withdraw,Will avail eLGU instead,[8] Withdraw,[D] Withdraw,Will avail eLGU instead,[8] Withdraw,[D] Withdraw,Will avail eLGU v2 instead,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-10-000,01-55-10-000,"Bautista, Pangasinan",Bautista,Pangasinan,Region I (Ilocos Region),Municipality,4th,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/bautistapangasinan,https://prod.ebpls.com/bautistapangasinan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-068-02-000,16-68-02-000,"Bayabas, Surigao del Sur",Bayabas,Surigao del Sur,Region XIII (Caraga),Municipality,5th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/bayabassurigaodelsur,https://prod.ebpls.com/bayabassurigaodelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-11-000,01-55-11-000,"Bayambang, Pangasinan",Bayambang,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/bayambangpangasinan,https://prod.ebpls.com/bayambangpangasinan,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
09-073-03-000,09-73-03-000,"Bayog, Zamboanga del Sur",Bayog,Zamboanga del Sur,Region IX (Zamboanga Peninsula),Municipality,3rd*,R9,A,L,#REF!,#REF!,https://bpbc.ibpls.com/bayogzamboangadelsur,https://prod.ebpls.com/bayogzamboangadelsur,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-006-03-000,06-06-03-000,"Belison, Antique",Belison,Antique,Region VI (Western Visayas),Municipality,5th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/belisonantique,https://prod.ebpls.com/belisonantique,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-04-000,02-31-04-000,"Benito Soliven, Isabela",Benito Soliven,Isabela,Region II (Cagayan Valley),Municipality,4th,R2,B,D,#REF!,#REF!,https://bpbc.ibpls.com/benitosolivenisabela,https://prod.ebpls.com/benitosolivenisabela,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-078-02-000,08-78-02-000,"Biliran, Biliran",Biliran,Biliran,Region VIII (Eastern Visayas),Municipality,5th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/biliranbiliran,https://prod.ebpls.com/biliranbiliran,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-12-000,01-55-12-000,"Binalonan, Pangasinan",Binalonan,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/binalonanpangasinan,https://prod.ebpls.com/binalonanpangasinan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-030-10-000,06-30-10-000,"Bingawan, Iloilo",Bingawan,Iloilo,Region VI (Western Visayas),Municipality,5th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/bingawaniloilo,https://prod.ebpls.com/bingawaniloilo,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-046-03-000,07-46-03-000,"Bacong, Negros Oriental",Bacong,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,A,J,#REF!,#REF!,,https://prod.ebpls.com/bacongnegrosoriental,2022-12,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-13-000,01-55-13-000,"Binmaley, Pangasinan",Binmaley,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/binmaleypangasinan,https://prod.ebpls.com/binmaleypangasinan,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-048-03-000,08-48-03-000,"Bobon, Northern Samar",Bobon,Northern Samar,Region VIII (Eastern Visayas),Municipality,4th,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/bobonnorthernsamar,https://prod.ebpls.com/bobonnorthernsamar,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-022-12-000,07-22-12-000,"Boljoon, Cebu",Boljoon,Cebu,Region VII (Central Visayas),Municipality,5th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/boljooncebu,https://prod.ebpls.com/boljooncebu,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-041-02-000,05-41-02-000,"Baleno, Masbate",Baleno,Masbate,Region V (Bicol Region),Municipality,4th,R5,B,H,#REF!,#REF!,,https://prod.ebpls.com/balenomasbate,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-049-02-000,03-49-02-000,"Bongabon, Nueva Ecija",Bongabon,Nueva Ecija,Region III (Central Luzon),Municipality,2nd,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/bongabonnuevaecija,https://prod.ebpls.com/bongabonnuevaecija/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-052-03-000,17-52-03-000,"Bongabong, Oriental Mindoro",Bongabong,Oriental Mindoro,MIMAROPA Region,Municipality,1st,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/bongabongorientalmindoro,https://prod.ebpls.com/bongabongorientalmindoro/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
19-070-02-000,15-70-02-000,"Bongao, Tawi-Tawi",Bongao,Tawi-Tawi,Bangsamoro Autonomous Region In Muslim Mindanao (BARMM),Municipality,2nd,BARMM I,A,M,#REF!,#REF!,https://bpbc.ibpls.com/bongaotawitawi,https://prod.ebpls.com/bongaotawitawi,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
10-042-03-000,10-42-03-000,"Bonifacio, Misamis Occidental",Bonifacio,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#REF!,#REF!,https://bpbc.ibpls.com/bonifaciomisamisoccidental,https://prod.ebpls.com/bonifaciomisamisoccidental,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
14-044-04-000,14-44-04-000,"Bontoc, Mountain Province",Bontoc,Mountain Province,Cordillera Administrative Region (CAR),Municipality,2nd,CAR,A,B,#REF!,#REF!,https://bpbc.ibpls.com/bontocmountainprovince,https://prod.ebpls.com/bontocmountainprovince,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
08-064-02-000,08-64-02-000,"Bontoc, Southern Leyte",Bontoc,Southern Leyte,Region VIII (Eastern Visayas),Municipality,4th*,R8,A,K,#REF!,#REF!,https://bpbc.ibpls.com/bontocsouthernleyte,https://prod.ebpls.com/bontocsouthernleyte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,[1] Operational,[A] Operational,Normal Operations,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
11-025-03-000,11-25-03-000,"Boston, Davao Oriental",Boston,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,B,P,#REF!,#REF!,https://bpbc.ibpls.com/bostondavaooriental,https://prod.ebpls.com/bostondavaooriental,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
03-071-01-000,03-71-01-000,"Botolan, Zambales",Botolan,Zambales,Region III (Central Luzon),Municipality,1st,R3,A,E,#REF!,#REF!,https://bpbc.ibpls.com/botolanzambales,https://prod.ebpls.com/botolanzambales,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-053-06-000,17-53-06-000,"Brooke'S Point, Palawan",Brooke'S Point,Palawan,MIMAROPA Region,Municipality,1st,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/brookespointpalawan,https://prod.ebpls.com/brookespointpalawan/.php/login,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-002-01-000,16-02-01-000,"Buenavista, Agusan del Norte",Buenavista,Agusan del Norte,Region XIII (Caraga),Municipality,1st,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/buenavistaagusandelnorte,https://prod.ebpls.com/buenavistaagusandelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-012-09-000,07-12-09-000,"Buenavista, Bohol",Buenavista,Bohol,Region VII (Central Visayas),Municipality,4th,R7,A,J,#REF!,#REF!,https://bpbc.ibpls.com/buenavistabohol,https://prod.ebpls.com/buenavistabohol,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-040-02-000,17-40-02-000,"Buenavista, Marinduque",Buenavista,Marinduque,MIMAROPA Region,Municipality,4th,R4B,A,G,#REF!,#REF!,https://bpbc.ibpls.com/buenavistamarinduque,https://prod.ebpls.com/buenavistamarinduque/.php/login,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
04-056-05-000,04-56-05-000,"Buenavista, Quezon",Buenavista,Quezon,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,#REF!,#REF!,https://bpbc.ibpls.com/buenavistaquezon,https://prod.ebpls.com/buenavistaquezon,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-055-15-000,01-55-15-000,"Bugallon, Pangasinan",Bugallon,Pangasinan,Region I (Ilocos Region),Municipality,2nd,R1,A,C,#REF!,#REF!,https://bpbc.ibpls.com/bugallonpangasinan,https://prod.ebpls.com/bugallonpangasinan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-006-04-000,06-06-04-000,"Bugasong, Antique",Bugasong,Antique,Region VI (Western Visayas),Municipality,3rd,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/bugasongantique,https://prod.ebpls.com/bugasongantique,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-015-08-000,02-15-08-000,"Buguey, Cagayan",Buguey,Cagayan,Region II (Cagayan Valley),Municipality,3rd,R2,A,D,#REF!,#REF!,https://bpbc.ibpls.com/bugueycagayan,https://prod.ebpls.com/bugueycagayan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-017-06-000,05-17-06-000,"Bula, Camarines Sur",Bula,Camarines Sur,Region V (Bicol Region),Municipality,2nd,R5,A,H,#REF!,#REF!,https://bpbc.ibpls.com/bulacamarinessur,https://prod.ebpls.com/bulacamarinessur,2022-12,#N/A,#N/A,#N/A,[1] Operational,,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
17-052-04-000,17-52-04-000,"Bulalacao, Oriental Mindoro",Bulalacao,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#REF!,#REF!,https://bpbc.ibpls.com/bulalacaoorientalmindoro,https://prod.ebpls.com/bulalacaoorientalmindoro/.php/login,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-062-03-000,05-62-03-000,"Bulan, Sorsogon",Bulan,Sorsogon,Region V (Bicol Region),Municipality,1st,R5,A,H,#REF!,#REF!,https://bpbc.ibpls.com/bulansorsogon,https://prod.ebpls.com/bulansorsogon,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
05-062-04-000,05-62-04-000,"Bulusan, Sorsogon",Bulusan,Sorsogon,Region V (Bicol Region),Municipality,4th,R5,B,H,#REF!,#REF!,https://bpbc.ibpls.com/bulusansorsogon,https://prod.ebpls.com/bulusansorsogon,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
02-031-05-000,02-31-05-000,"Burgos, Isabela",Burgos,Isabela,Region II (Cagayan Valley),Municipality,4th,R2,B,D,#REF!,#REF!,https://bpbc.ibpls.com/burgosisabela,https://prod.ebpls.com/burgosisabela,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
01-033-08-000,01-33-08-000,"Burgos, La Union",Burgos,La Union,Region I (Ilocos Region),Municipality,5th,R1,B,C,#REF!,#REF!,https://bpbc.ibpls.com/burgoslaunion,https://prod.ebpls.com/burgoslaunion,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
16-067-04-000,16-67-04-000,"Burgos, Surigao del Norte",Burgos,Surigao del Norte,Region XIII (Caraga),Municipality,6th,R13,A,O,#REF!,#REF!,https://bpbc.ibpls.com/burgossurigaodelnorte,	https://prod.ebpls.com/burgossurigaodelnorte,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
07-012-06-000,07-12-06-000,"Balilihan, Bohol",Balilihan,Bohol,Region VII (Central Visayas),Municipality,4th,R7,B,J,#REF!,#REF!,,NO INSTANCE,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
06-004-05-000,06-04-05-000,"Buruanga, Aklan",Buruanga,Aklan,Region VI (Western Visayas),Municipality,5th,R6,A,I,#REF!,#REF!,https://bpbc.ibpls.com/buruangaaklan,https://prod.ebpls.com/buruangaaklan,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
