REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
2026-02,2026,[02] February,"City of Candon, Ilocos Sur",[1] Live,[A] Live,4th,City,4th,R1,v1
2026-02,2026,[02] February,"City of Laoag, Ilocos Norte",[1] Live,[A] Live,3rd,City,3rd,R1,with v1 v2
2026-02,2026,[02] February,"City of San Carlos, Pangasinan",[1] Live,[A] Live,3rd,City,3rd,R1,v1
2026-02,2026,[02] February,"Dasol, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Dingras, Ilocos Norte",[1] Live,[A] Live,2nd,Mun,2nd,R1,with v1 v2
2026-02,2026,[02] February,"Datu Anggal Midtimbang, Maguindanao del Sur",[3] System Setup,[B] Developmental,-,Mun,-,BARMM II,v1
2026-02,2026,[02] February,"Dumalneg, Ilocos Norte",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Datu Piang, Maguindanao del Sur",[3] System Setup,[B] Developmental,2nd,Mun,2nd,BARMM II,v1
2026-02,2026,[02] February,"Northern Kabuntalan, Maguindanao del Norte",[5] Admin Training,[C] For Training/Others,5th,Mun,5th,BARMM II,
2026-02,2026,[02] February,"Infanta, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Laoac, Pangasinan",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Lidlidda, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Lingayen, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,with v1 v2
2026-02,2026,[02] February,"Mangaldan, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Mangatarem, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Mapandan, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Naguilian, La Union",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Nueva Era, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Buug, Zamboanga Sibugay",[8] Withdraw,[D] Withdraw,3rd,Mun,3rd,R9,
2026-02,2026,[02] February,"City of Dipolog, Zamboanga del Norte",[8] Withdraw,[D] Withdraw,3rd,City,3rd,R9,
2026-02,2026,[02] February,"Pagudpud, Ilocos Norte",[1] Live,[A] Live,4th,Mun,4th,R1,with v1 v2
2026-02,2026,[02] February,"Pasuquin, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Piddig, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Pozorrubio, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Rosales, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Rosario, La Union",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"San Esteban, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"San Fabian, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"San Gabriel, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,with v1 v2
2026-02,2026,[02] February,"San Ildefonso, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"San Juan, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Ipil, Zamboanga Sibugay",[8] Withdraw,[D] Withdraw,1st,Mun,1st,R9,
2026-02,2026,[02] February,"Jolo, Sulu",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,BARMM I,v1
2026-02,2026,[02] February,"San Manuel, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"San Nicolas, Ilocos Norte",[1] Live,[A] Live,2nd,Mun,2nd,R1,with v1 v2
2026-02,2026,[02] February,"San Nicolas, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"San Quintin, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"San Vicente, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Santa Barbara, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Santa Catalina, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,with v1 v2
2026-02,2026,[02] February,"Santa Cruz, Ilocos Sur",[1] Live,[A] Live,1st,Mun,1st,R1,with v1 v2
2026-02,2026,[02] February,"Santa Lucia, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Santa, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Santiago, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Santo Domingo, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Santo Tomas, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Santo Tomas, Pangasinan",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Santol, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,with v1 v2
2026-02,2026,[02] February,"Sarrat, Ilocos Norte",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Sinait, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Sison, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Solsona, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Sudipen, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,with v1 v2
2026-02,2026,[02] February,"Suyo, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,with v1 v2
2026-02,2026,[02] February,"Naga, Zamboanga Sibugay",[7] To Follow-up,[C] For Training/Others,3rd,Mun,3rd,R9,v1
2026-02,2026,[02] February,"Tagudin, Ilocos Sur",[1] Live,[A] Live,2nd,Mun,2nd,R1,v1
2026-02,2026,[02] February,"Tayug, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Tubao, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Urbiztondo, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Villasis, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Vintar, Ilocos Norte",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Aloran, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Alubijid, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Bacolod, Lanao del Norte",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Balingasag, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Balingoan, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Baroy, Lanao del Norte",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Bonifacio, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Sibuco, Zamboanga del Norte",[7] To Follow-up,[C] For Training/Others,1st,Mun,1st,R9,v1
2026-02,2026,[02] February,"Calamba, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Catarman, Camiguin",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"City of El Salvador, Misamis Oriental",[1] Live,[A] Live,6th,City,6th,R10,v1
2026-02,2026,[02] February,"City of Gingoog, Misamis Oriental",[1] Live,[A] Live,2nd,City,2nd,R10,v1
2026-02,2026,[02] February,"City of Ozamiz, Misamis Occidental",[1] Live,[A] Live,3rd,City,3rd,R10,v1
2026-02,2026,[02] February,"City of Tangub, Misamis Occidental",[1] Live,[A] Live,4th,City,4th,R10,v1
2026-02,2026,[02] February,"Clarin, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Claveria, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Don Carlos, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Gitagum, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Guinsiliban, Camiguin",[1] Live,[A] Live,6th,Mun,6th,R10,v1
2026-02,2026,[02] February,"Impasug-ong, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Jasaan, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Jimenez, Misamis Occidental",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Kadingilan, Bukidnon",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Ungkaya Pukan, Basilan",[8] Withdraw,[D] Withdraw,-,Mun,-,BARMM I,
2026-02,2026,[02] February,"Kapatagan, Lanao del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Kauswagan, Lanao del Norte",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Kibawe, Bukidnon",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Kinoguitan, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Lagonglong, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Laguindingan, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Libertad, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Linamon, Lanao del Norte",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Lugait, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Magsaysay, Lanao del Norte",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Magsaysay, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Mahinog, Camiguin",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Maigo, Lanao del Norte",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Mambajao, Camiguin",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Manticao, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Medina, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Naawan, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Nunungan, Lanao del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Opol, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Panaon, Misamis Occidental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Plaridel, Misamis Occidental",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Sagay, Camiguin",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Salay, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"San Fernando, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Sapang Dalaga, Misamis Occidental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Sinacaban, Misamis Occidental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Sugbongcogon, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Sultan Naga Dimaporo, Lanao del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Tagoloan, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Talakag, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"City of Vigan, Ilocos Sur",[2] UAT,[B] Developmental,4th,City,4th,R1,v1
2026-02,2026,[02] February,"Talisayan, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Tudela, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Villanueva, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Baganga, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Banaybanay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Bansalan, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Boston, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Magsingal, Ilocos Sur",[8] Withdraw,[D] Withdraw,3rd,Mun,3rd,R1,
2026-02,2026,[02] February,"Manaoag, Pangasinan",[3] System Setup,[B] Developmental,1st,Mun,1st,R1,v2
2026-02,2026,[02] February,"Caraga, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Carmen, Davao del Norte",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Cateel, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"City of Digos, Davao del Sur",[1] Live,[A] Live,2nd,City,2nd,R11,v1
2026-02,2026,[02] February,"City of Mati, Davao Oriental",[1] Live,[A] Live,5th,City,5th,R11,v1
2026-02,2026,[02] February,"Kiblawan, Davao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Laak, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Lupon, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Magsaysay, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Malalag, Davao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Manay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Maragusan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Matanao, Davao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Mawab, Davao de Oro",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Monkayo, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"New Bataan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Padada, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"San Isidro, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Santa Cruz, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Sulop, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Tarragona, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Alabel, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Alamada, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Aleosan, Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"Antipas, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Arakan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Banga, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Banisilan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Carmen, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"City of Kidapawan, Cotabato",[1] Live,[A] Live,3rd,City,3rd,R12,v1
2026-02,2026,[02] February,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Esperanza, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Isulan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kalamansig, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kiamba, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Lebak, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Libungan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"M'Lang, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Maasim, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Magpet, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Maitum, Sarangani",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Matalam, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Midsayap, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Palimbang, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Baungon, Bukidnon",[8] Withdraw,[D] Withdraw,2nd,Mun,2nd,R10,
2026-02,2026,[02] February,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Polomolok, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"President Quirino, Sultan Kudarat",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"President Roxas, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Santo Niño, South Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"City of Iligan, Lanao del Norte",[7] To Follow-up,[C] For Training/Others,1st,City,1st,R10,v1
2026-02,2026,[02] February,"Sen. Ninoy Aquino, Sultan Kudarat",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"Surallah, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"T'Boli, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Tampakan, South Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Tantangan, South Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"Tulunan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Tupi, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Alegria, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Bayabas, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Buenavista, Agusan del Norte",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"Burgos, Surigao del Norte",[1] Live,[A] Live,6th,Mun,6th,R13,v1
2026-02,2026,[02] February,"Cagdianao, Dinagat Islands",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-02,2026,[02] February,"Cagwait, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Cantilan, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Carmen, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Kolambugan, Lanao del Norte",[7] To Follow-up,[C] For Training/Others,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"City of Cabadbaran, Agusan del Norte",[1] Live,[A] Live,6th,City,6th,R13,v1
2026-02,2026,[02] February,"City of Tandag, Surigao del Sur",[1] Live,[A] Live,5th,City,5th,R13,v1
2026-02,2026,[02] February,"Cortes, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Del Carmen, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Dinagat, Dinagat Islands",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"General Luna, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Gigaquit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Hinatuan, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Kitcharao, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Lanuza, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Lianga, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Lingig, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Madrid, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Magallanes, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Mainit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Marihatag, Surigao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-02,2026,[02] February,"Remedios T. Romualdez, Agusan del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"San Agustin, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"San Francisco, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"San Isidro, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"San Jose, Dinagat Islands",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"San Miguel, Surigao del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"Santa Josefa, Agusan del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-02,2026,[02] February,"Santiago, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Sison, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Socorro, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Tagana-An, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Tagbina, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Tago, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Trento, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"Tubajon, Dinagat Islands",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Tubod, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Aglipay, Quirino",[1] Live,[A] Live,3rd,Mun,3rd,R2,with v1 v2
2026-02,2026,[02] February,"Alfonso Castaneda, Nueva Vizcaya",[1] Live,[A] Live,1st,Mun,1st,R2,v1
2026-02,2026,[02] February,"Alicia, Isabela",[1] Live,[A] Live,1st,Mun,1st,R2,v1
2026-02,2026,[02] February,"Allacapan, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-02,2026,[02] February,"Compostela, Davao de Oro",[6] With Concerns,[C] For Training/Others,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Governor Generoso, Davao Oriental",[2] UAT,[B] Developmental,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Island Garden City of Samal, Davao del Norte",[8] Withdraw,[D] Withdraw,4th,City,4th,R11,
2026-02,2026,[02] February,"Ambaguio, Nueva Vizcaya",[1] Live,[A] Live,5th,Mun,5th,R2,v1
2026-02,2026,[02] February,"Amulung, Cagayan",[1] Live,[A] Live,2nd,Mun,2nd,R2,v1
2026-02,2026,[02] February,"Angadanan, Isabela",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-02,2026,[02] February,"Aparri, Cagayan",[1] Live,[A] Live,1st,Mun,1st,R2,v1
