2026-02,2026,[02] February,"Sara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-02,2026,[02] February,"Sebaste, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Sibalom, Antique",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-02,2026,[02] February,"Tangalan, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-02,2026,[02] February,"Tapaz, Capiz",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-02,2026,[02] February,"Tibiao, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Valderrama, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Zarraga, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-02,2026,[02] February,"Ayungon, Negros Oriental",[1] Live,[A] Live,2nd,Mun,2nd,NIR,v1
2026-02,2026,[02] February,"Basay, Negros Oriental",[1] Live,[A] Live,4th,Mun,4th,NIR,
2026-02,2026,[02] February,"City of Escalante, Negros Occidental",[1] Live,[A] Live,4th,City,4th,NIR,v1
2026-02,2026,[02] February,"City of Himamaylan, Negros Occidental",[1] Live,[A] Live,3rd,City,3rd,NIR,v1
2026-02,2026,[02] February,"City of Kabankalan, Negros Occidental",[3] With Concerns,[A] Live,1st,City,1st,NIR,v1
2026-02,2026,[02] February,"City of La Carlota, Negros Occidental",[1] Live,[A] Live,4th,City,4th,NIR,v1
2026-02,2026,[02] February,"City of Sagay, Negros Occidental",[1] Live,[A] Live,3rd,City,3rd,NIR,v1
2026-02,2026,[02] February,"City of Sipalay, Negros Occidental",[1] Live,[A] Live,4th,City,4th,NIR,v1
2026-02,2026,[02] February,"Hinigaran, Negros Occidental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-02,2026,[02] February,"Hinoba-an, Negros Occidental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-02,2026,[02] February,"Larena, Siquijor",[1] Live,[A] Live,5th,Mun,5th,NIR,v1
2026-02,2026,[02] February,"Lazi, Siquijor",[1] Live,[A] Live,4th,Mun,4th,NIR,v1
2026-02,2026,[02] February,"Mabinay, Negros Oriental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-02,2026,[02] February,"Manapla, Negros Occidental",[1] Live,[A] Live,2nd,Mun,2nd,NIR,v1
2026-02,2026,[02] February,"San Jose, Negros Oriental",[1] Live,[A] Live,5th,Mun,5th,NIR,v1
2026-02,2026,[02] February,"Ampatuan, Maguindanao del Sur",[1] Live,[A] Live,4th,Mun,4th,BARMM II,v1
2026-02,2026,[02] February,"Datu Abdullah Sangki, Maguindanao del Sur",[1] Live,[A] Live,-,Mun,-,BARMM II,v1
2026-02,2026,[02] February,"Datu Anggal Midtimbang, Maguindanao del Sur",[2] System Setup,[B] Developmental,-,Mun,-,BARMM II,
2026-02,2026,[02] February,"Datu Paglas, Maguindanao del Sur",[1] Live,[A] Live,4th,Mun,4th,BARMM II,v1
2026-02,2026,[02] February,"Datu Piang, Maguindanao del Sur",[2] System Setup,[B] Developmental,2nd,Mun,2nd,BARMM II,
2026-02,2026,[02] February,"Northern Kabuntalan, Maguindanao del Norte",[2] System Setup,[B] Developmental,5th,Mun,5th,BARMM II,
2026-02,2026,[02] February,"Pagalungan, Maguindanao del Sur",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-02,2026,[02] February,"Parang, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-02,2026,[02] February,"Shariff Aguak, Maguindanao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,BARMM II,v1
2026-02,2026,[02] February,"Sultan Kudarat, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-02,2026,[02] February,"Talayan, Maguindanao del Sur",[1] Live,[A] Live,4th,Mun,4th,BARMM II,v1
2026-02,2026,[02] February,"Upi, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-02,2026,[02] February,"Adams, Ilocos Norte",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Agoo, La Union",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Aguilar, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Aringay, La Union",[1] Live,[A] Live,2nd,Mun,2nd,R1,v1
2026-02,2026,[02] February,"Badoc, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Balaoan, La Union",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Balungao, Pangasinan",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Banayoyo, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Bangui, Ilocos Norte",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Bantay, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Bautista, Pangasinan",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Bayambang, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Burgos, La Union",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Caba, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Caoayan, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"City of Batac, Ilocos Norte",[1] Live,[A] Live,5th,City,5th,R1,v1
2026-02,2026,[02] February,"City of Candon, Ilocos Sur",[1] Live,[A] Live,4th,City,4th,R1,v1
2026-02,2026,[02] February,"City of Laoag, Ilocos Norte",[1] Live,[A] Live,3rd,City,3rd,R1,with v1 v2
2026-02,2026,[02] February,"Dingras, Ilocos Norte",[1] Live,[A] Live,2nd,Mun,2nd,R1,v1
2026-02,2026,[02] February,"Dumalneg, Ilocos Norte",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Lidlidda, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"Mangaldan, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Mapandan, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Naguilian, La Union",[2] System Setup,[B] Developmental,1st,Mun,1st,R1,
2026-02,2026,[02] February,"Nueva Era, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Pasuquin, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Piddig, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Pozorrubio, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Rosario, La Union",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"San Esteban, Ilocos Sur",[1] Live,[A] Live,5th,Mun,5th,R1,v1
2026-02,2026,[02] February,"San Fabian, Pangasinan",[2] System Setup,[B] Developmental,1st,Mun,1st,R1,
2026-02,2026,[02] February,"San Juan, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"San Manuel, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"San Nicolas, Ilocos Norte",[1] Live,[A] Live,2nd,Mun,2nd,R1,v1
2026-02,2026,[02] February,"San Nicolas, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Santa Barbara, Pangasinan",[1] Live,[A] Live,1st,Mun,1st,R1,v1
2026-02,2026,[02] February,"Santo Domingo, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Santo Tomas, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Santo Tomas, Pangasinan",[2] System Setup,[B] Developmental,5th,Mun,5th,R1,
2026-02,2026,[02] February,"Sarrat, Ilocos Norte",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Sinait, Ilocos Sur",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Sison, Pangasinan",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R1,
2026-02,2026,[02] February,"Solsona, Ilocos Norte",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-02,2026,[02] February,"Suyo, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Tagudin, Ilocos Sur",[1] Live,[A] Live,2nd,Mun,2nd,R1,v1
2026-02,2026,[02] February,"Tubao, La Union",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-02,2026,[02] February,"Bongao, Tawi-Tawi",[1] Live,[A] Live,2nd,Mun,2nd,BARMM I,v1
2026-02,2026,[02] February,"City of Isabela, Basilan",[1] Live,[A] Live,4th,City,4th,R9,v1
2026-02,2026,[02] February,"City of Lamitan, Basilan",[1] Live,[A] Live,6th,City,6th,BARMM I,v1
2026-02,2026,[02] February,"Dimataling, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Diplahan, Zamboanga Sibugay",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-02,2026,[02] February,"Dumalinao, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Guipos, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Gutalac, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-02,2026,[02] February,"Josefina, Zamboanga del Sur",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-02,2026,[02] February,"Kabasalan, Zamboanga Sibugay",[1] Live,[A] Live,2nd,Mun,2nd,R9,v1
2026-02,2026,[02] February,"Labason, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-02,2026,[02] February,"Leon B. Postigo (Bacungan), Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Mahayag, Zamboanga del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-02,2026,[02] February,"Molave, Zamboanga del Sur",[1] Live,[A] Live,1st,Mun,1st,R9,with v1 v2
2026-02,2026,[02] February,"Polanco, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-02,2026,[02] February,"Ramon Magsaysay, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Salug, Zamboanga del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R9,v1
2026-02,2026,[02] February,"San Pablo, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Siayan, Zamboanga del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R9,with v1 v2
2026-02,2026,[02] February,"Sindangan, Zamboanga del Norte",[1] Live,[A] Live,1st,Mun,1st,R9,v1
2026-02,2026,[02] February,"Talipao, Sulu",[1] Live,[A] Live,1st,Mun,1st,BARMM I,v1
2026-02,2026,[02] February,"Tambulig, Zamboanga del Sur",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Tampilisan, Zamboanga del Norte",[1] Live,[A] Live,4th,Mun,4th,R9,v1
2026-02,2026,[02] February,"Tigbao, Zamboanga del Sur",[1] Live,[A] Live,5th,Mun,5th,R9,v1
2026-02,2026,[02] February,"Aloran, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Alubijid, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Bacolod, Lanao del Norte",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Balingasag, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Balingoan, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Baroy, Lanao del Norte",[2] System Setup,[B] Developmental,4th,Mun,4th,R10,
2026-02,2026,[02] February,"Bonifacio, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Calamba, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Catarman, Camiguin",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"City of El Salvador, Misamis Oriental",[1] Live,[A] Live,6th,City,6th,R10,v1
2026-02,2026,[02] February,"City of Gingoog, Misamis Oriental",[1] Live,[A] Live,2nd,City,2nd,R10,v1
2026-02,2026,[02] February,"City of Ozamiz, Misamis Occidental",[1] Live,[A] Live,3rd,City,3rd,R10,v1
2026-02,2026,[02] February,"City of Tangub, Misamis Occidental",[1] Live,[A] Live,4th,City,4th,R10,v1
2026-02,2026,[02] February,"Clarin, Misamis Occidental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Claveria, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Don Carlos, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Gitagum, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Guinsiliban, Camiguin",[1] Live,[A] Live,6th,Mun,6th,R10,v1
2026-02,2026,[02] February,"Impasug-ong, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Jasaan, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Jimenez, Misamis Occidental",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Kadingilan, Bukidnon",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Kapatagan, Lanao del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Kauswagan, Lanao del Norte",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Kibawe, Bukidnon",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Lagonglong, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Laguindingan, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Libertad, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Linamon, Lanao del Norte",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Lugait, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Magsaysay, Lanao del Norte",[2] System Setup,[B] Developmental,5th,Mun,5th,R10,
2026-02,2026,[02] February,"Magsaysay, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Mahinog, Camiguin",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Mambajao, Camiguin",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Manticao, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Medina, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Naawan, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Nunungan, Lanao del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Opol, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Plaridel, Misamis Occidental",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Sagay, Camiguin",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Salay, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"San Fernando, Bukidnon",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Sapang Dalaga, Misamis Occidental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Sinacaban, Misamis Occidental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Sugbongcogon, Misamis Oriental",[1] Live,[A] Live,5th,Mun,5th,R10,v1
2026-02,2026,[02] February,"Sultan Naga Dimaporo, Lanao del Norte",[1] Live,[A] Live,3rd,Mun,3rd,R10,v1
2026-02,2026,[02] February,"Tagoloan, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-02,2026,[02] February,"Talisayan, Misamis Oriental",[1] Live,[A] Live,4th,Mun,4th,R10,v1
2026-02,2026,[02] February,"Villanueva, Misamis Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R10,v1
2026-02,2026,[02] February,"Bansalan, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"City of Digos, Davao del Sur",[1] Live,[A] Live,2nd,City,2nd,R11,v1
2026-02,2026,[02] February,"Lupon, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Manay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"Matanao, Davao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-02,2026,[02] February,"San Isidro, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Sulop, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Magsaysay, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Boston, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"Tarragona, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-02,2026,[02] February,"City of Mati, Davao Oriental",[1] Live,[A] Live,5th,City,5th,R11,v1
2026-02,2026,[02] February,"Santa Cruz, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-02,2026,[02] February,"Alabel, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Aleosan, Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Banisilan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"City of Kidapawan, Cotabato",[1] Live,[A] Live,3rd,City,3rd,R12,v1
2026-02,2026,[02] February,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kalamansig, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Kiamba, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Lebak, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"M'Lang, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Maasim, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Midsayap, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Palimbang, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Polomolok, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"President Roxas, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Sen. Ninoy Aquino, Sultan Kudarat",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"T'Boli, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Tampakan, South Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-02,2026,[02] February,"Tantangan, South Cotabato",[1] Live,[A] Live,3rd,Mun,3rd,R12,v1
2026-02,2026,[02] February,"Tupi, South Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-02,2026,[02] February,"Alegria, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Bayabas, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Buenavista, Agusan del Norte",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"Burgos, Surigao del Norte",[1] Live,[A] Live,6th,Mun,6th,R13,v1
2026-02,2026,[02] February,"Cagdianao, Dinagat Islands",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-02,2026,[02] February,"Cagwait, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Carmen, Surigao del Sur",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"City of Cabadbaran, Agusan del Norte",[1] Live,[A] Live,6th,City,6th,R13,v1
2026-02,2026,[02] February,"City of Tandag, Surigao del Sur",[1] Live,[A] Live,5th,City,5th,R13,v1
2026-02,2026,[02] February,"Cortes, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Del Carmen, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Dinagat, Dinagat Islands",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"General Luna, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Gigaquit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Hinatuan, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Kitcharao, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Mainit, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Marihatag, Surigao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-02,2026,[02] February,"Remedios T. Romualdez, Agusan del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"San Agustin, Surigao del Sur",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"San Isidro, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"San Jose, Dinagat Islands",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"San Miguel, Surigao del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"Santa Josefa, Agusan del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R13,v1
2026-02,2026,[02] February,"Santiago, Agusan del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Sison, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Socorro, Surigao del Norte",[1] Live,[A] Live,4th,Mun,4th,R13,v1
2026-02,2026,[02] February,"Tagana-An, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Tagbina, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Tago, Surigao del Sur",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-02,2026,[02] February,"Trento, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-02,2026,[02] February,"Tubod, Surigao del Norte",[1] Live,[A] Live,5th,Mun,5th,R13,v1
2026-02,2026,[02] February,"Agoncillo, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Alabat, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-02,2026,[02] February,"Alfonso, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Alitagtag, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Calauag, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Calauan, Laguna",[1] Live,[A] Live,2nd,Mun,2nd,R4A,v1
2026-02,2026,[02] February,"Cardona, Rizal",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Gumaca, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Infanta, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Lobo, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Lopez, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Lumban, Laguna",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Magallanes, Cavite",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Mataasnakahoy, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Naic, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-02,2026,[02] February,"Noveleta, Cavite",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-02,2026,[02] February,"Paete, Laguna",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-02,2026,[02] February,"Rizal, Laguna",[1] Live,[A] Live,5th,Mun,5th,R4A,with v1 v2
