,ENGAGEMENT STATUS,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"San Nicolas, Pangasinan",2021,2022-12,,,01-055-36-000,01-55-36-000,San Nicolas,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Barbara, Pangasinan",2022,2022-12,,,01-055-38-000,01-55-38-000,Santa Barbara,Pangasinan,Region I (Ilocos Region),Municipality,1st,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santo Domingo, Ilocos Sur",2023,2023-02,,,01-029-28-000,01-29-28-000,Santo Domingo,Ilocos Sur,Region I (Ilocos Region),Municipality,3rd,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santo Tomas, La Union",2022,2022-12,,,01-033-17-000,01-33-17-000,Santo Tomas,La Union,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santo Tomas, Pangasinan",2022,2022-12,,,01-055-40-000,01-55-40-000,Santo Tomas,Pangasinan,Region I (Ilocos Region),Municipality,5th,R1,A,C,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sarrat, Ilocos Norte",2022,2022-12,,,01-028-21-000,01-28-21-000,Sarrat,Ilocos Norte,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sinait, Ilocos Sur",2022,2022-12,,,01-029-30-000,01-29-30-000,Sinait,Ilocos Sur,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sison, Pangasinan",2022,2022-12,,,01-055-41-000,01-55-41-000,Sison,Pangasinan,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Solsona, Ilocos Norte",2022,2022-12,,,01-028-22-000,01-28-22-000,Solsona,Ilocos Norte,Region I (Ilocos Region),Municipality,3rd,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Suyo, Ilocos Sur",2021,2022-12,,,01-029-32-000,01-29-32-000,Suyo,Ilocos Sur,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tagudin, Ilocos Sur",2022,2022-12,,,01-029-33-000,01-29-33-000,Tagudin,Ilocos Sur,Region I (Ilocos Region),Municipality,2nd,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tubao, La Union",2022,2022-12,,,01-033-20-000,01-33-20-000,Tubao,La Union,Region I (Ilocos Region),Municipality,4th,R1,A,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aurora, Isabela",2021,2022-12,,,02-031-03-000,02-31-03-000,Aurora,Isabela,Region II (Cagayan Valley),Municipality,3rd,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Baggao, Cagayan",2023,2023-06,,,02-015-06-000,02-15-06-000,Baggao,Cagayan,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bambang, Nueva Vizcaya",2022,2022-12,,,02-050-04-000,02-50-04-000,Bambang,Nueva Vizcaya,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Cabagan, Isabela",,,,,02-031-06-000,02-31-06-000,Cabagan,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Camalaniugan, Cagayan",2021,2022-12,,,02-015-10-000,02-15-10-000,Camalaniugan,Cagayan,Region II (Cagayan Valley),Municipality,4th,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Ilagan, Isabela",2021,2022-12,,,02-031-14-000,02-31-14-000,City of Ilagan,Isabela,Region II (Cagayan Valley),City,1st (as Mun),R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Diffun, Quirino",2023,2023-01,,,02-057-03-000,02-57-03-000,Diffun,Quirino,Region II (Cagayan Valley),Municipality,2nd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gamu, Isabela",2022,2022-12,,,02-031-13-000,02-31-13-000,Gamu,Isabela,Region II (Cagayan Valley),Municipality,4th,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gattaran, Cagayan",2023,2023-03,,,02-015-13-000,02-15-13-000,Gattaran,Cagayan,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jones, Isabela",2021,2022-12,,,02-031-15-000,02-31-15-000,Jones,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Maddela, Quirino",2021,2022-12,,,02-057-04-000,02-57-04-000,Maddela,Quirino,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mallig, Isabela",2022,2022-12,,,02-031-19-000,02-31-19-000,Mallig,Isabela,Region II (Cagayan Valley),Municipality,4th,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Palanan, Isabela",2022,2022-12,,,02-031-21-000,02-31-21-000,Palanan,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Ramon, Isabela",2022,2022-12,,,02-031-24-000,02-31-24-000,Ramon,Isabela,Region II (Cagayan Valley),Municipality,2nd,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Mariano, Isabela",2022,2022-12,,,02-031-31-000,02-31-31-000,San Mariano,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,A,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Mateo, Isabela",2023,2023-01,,,02-031-32-000,02-31-32-000,San Mateo,Isabela,Region II (Cagayan Valley),Municipality,1st,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Ana, Cagayan",2023,2023-06,,,02-015-23-000,02-15-23-000,Santa Ana,Cagayan,Region II (Cagayan Valley),Municipality,2nd,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Teresita, Cagayan",,,,,02-015-25-000,02-15-25-000,Santa Teresita,Cagayan,Region II (Cagayan Valley),Municipality,4th,R2,B,D,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aloran, Misamis Occidental",2021,2022-12,,,10-042-01-000,10-42-01-000,Aloran,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bacolod, Lanao del Norte",2021,2022-12,,,10-035-01-000,10-35-01-000,Bacolod,Lanao del Norte,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Calamba, Misamis Occidental",2022,2022-12,,,10-042-04-000,10-42-04-000,Calamba,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Catarman, Camiguin",2023,2023-01,,,10-018-01-000,10-18-01-000,Catarman,Camiguin,Region X (Northern Mindanao),Municipality,5th,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of El Salvador, Misamis Oriental",2021,2022-12,,,10-043-07-000,10-43-07-000,City of El Salvador,Misamis Oriental,Region X (Northern Mindanao),City,6th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Clarin, Misamis Occidental",2022,2022-12,,,10-042-05-000,10-42-05-000,Clarin,Misamis Occidental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Don Carlos, Bukidnon",,,,,10-013-04-000,10-13-04-000,Don Carlos,Bukidnon,Region X (Northern Mindanao),Municipality,1st,R10,B,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Guinsiliban, Camiguin",2022,2022-12,,,10-018-02-000,10-18-02-000,Guinsiliban,Camiguin,Region X (Northern Mindanao),Municipality,6th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jasaan, Misamis Oriental",2022,2022-12,,,10-043-11-000,10-43-11-000,Jasaan,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kibawe, Bukidnon",2021,2022-12,01/22/2019,01/22/2019,10-013-08-000,10-13-08-000,Kibawe,Bukidnon,Region X (Northern Mindanao),Municipality,2nd,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Libertad, Misamis Oriental",2021,2022-12,,,10-043-15-000,10-43-15-000,Libertad,Misamis Oriental,Region X (Northern Mindanao),Municipality,5th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mambajao, Camiguin",2022,2022-12,,,10-018-04-000,10-18-04-000,Mambajao,Camiguin,Region X (Northern Mindanao),Municipality,3rd,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Naawan, Misamis Oriental",2022,2022-12,,,10-043-20-000,10-43-20-000,Naawan,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Plaridel, Misamis Occidental",2022,2022-12,,,10-042-12-000,10-42-12-000,Plaridel,Misamis Occidental,Region X (Northern Mindanao),Municipality,3rd,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Salay, Misamis Oriental",2021,2022-12,,,10-043-22-000,10-43-22-000,Salay,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tagoloan, Misamis Oriental",2021,2022-12,,,10-043-24-000,10-43-24-000,Tagoloan,Misamis Oriental,Region X (Northern Mindanao),Municipality,1st,R10,A,N,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Apalit, Pampanga",2023,2023-01,,,03-054-02-000,03-54-02-000,Apalit,Pampanga,Region III (Central Luzon),Municipality,1st,R3,B,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Arayat, Pampanga",2022,2022-12,,,03-054-03-000,03-54-03-000,Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bacolor, Pampanga",2022,2022-12,,,03-054-04-000,03-54-04-000,Bacolor,Pampanga,Region III (Central Luzon),Municipality,3rd,R3,A,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Baler, Aurora",2023,2023-01,,,03-077-01-000,03-77-01-000,Baler,Aurora,Region III (Central Luzon),Municipality,3rd,R3,B,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
