,,,,,,LGU PROFILE,,,LGU PROFILE,,,,,,,,,,,,DECEMBER 2024,,,JANUARY 2025,,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"City of Mati, Davao Oriental",,,,,,11-025-09-000,11-25-09-000,"City of Mati, Davao Oriental",City of Mati,Davao Oriental,Region XI (Davao Region),City,5th,R11,A,P,2022,https://bldg.ibpls.com/matidavaooriental/,https://co.ibpls.com/matidavaooriental/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tarragona, Davao Oriental",,,,,,11-025-11-000,11-25-11-000,"Tarragona, Davao Oriental",Tarragona,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,B,P,2022,https://bldg.ibpls.com/tarragonadavaooriental/,https://co.ibpls.com/tarragonadavaooriental/,2023-01,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Digos, Davao del Sur",,,,,,11-024-03-000,11-24-03-000,"City of Digos, Davao del Sur",City of Digos,Davao del Sur,Region XI (Davao Region),City,2nd,R11,B,P,2023,https://bldg.ibpls.com/digosdavaodelsur/,https://co.ibpls.com/digosdavaodelsur/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Maragusan, Davao de Oro",,,,,,11-082-05-000,11-82-05-000,"Maragusan, Davao de Oro",Maragusan,Davao de Oro,Region XI (Davao Region),Municipality,1st,R11,B,P,2023,https://bldg.ibpls.com/maragusandavaodeoro/,https://co.ibpls.com/maragusandavaodeoro/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Padada, Davao del Sur",,,,,,11-024-11-000,11-24-11-000,"Padada, Davao del Sur",Padada,Davao del Sur,Region XI (Davao Region),Municipality,3rd,R11,B,P,2023,https://bldg.ibpls.com/padadadavaodelsur/,https://co.ibpls.com/padadadavaodelsur/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Kabacan, Cotabato",,,,,,12-047-03-000,12-47-03-000,"Kabacan, Cotabato",Kabacan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,A,Q,2020,https://bldg.ibpls.com/kabacannorthcotabato/,https://co.ibpls.com/kabacannorthcotabato/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Kidapawan, Cotabato",,,,,,12-047-04-000,12-47-04-000,"City of Kidapawan, Cotabato",City of Kidapawan,Cotabato,Region XII (SOCCSKSARGEN),City,3rd,R12,A,Q,2021,https://bldg.ibpls.com/kidapawannorthcotabato/,https://co.ibpls.com/kidapawannorthcotabato/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Midsayap, Cotabato",,,,,,12-047-09-000,12-47-09-000,"Midsayap, Cotabato",Midsayap,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,2021,https://bldg.ibpls.com/midsayapnorthcotabato/,https://co.ibpls.com/midsayapnorthcotabato/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pikit, Cotabato",,,,,,12-047-12-000,12-47-12-000,"Pikit, Cotabato",Pikit,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,2021,https://bldg.ibpls.com/pikitnorthcotabato,https://co.ibpls.com/pikitnorthcotabato,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bagumbayan, Sultan Kudarat",,,,,,12-065-01-000,12-65-01-000,"Bagumbayan, Sultan Kudarat",Bagumbayan,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,2021,https://bldg.ibpls.com/bagumbayansultankudarat,https://co.ibpls.com/bagumbayansultankudarat,,#N/A,#N/A,#N/A,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,[3] Ongoing Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lebak, Sultan Kudarat",,,,,,12-065-06-000,12-65-06-000,"Lebak, Sultan Kudarat",Lebak,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,2021,https://bldg.ibpls.com/lebaksultankudarat,https://co.ibpls.com/lebaksultankudarat,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Las Nieves, Agusan del Norte",,,,,,16-002-07-000,16-02-07-000,"Las Nieves, Agusan del Norte",Las Nieves,Agusan del Norte,Region XIII (Caraga),Municipality,2nd,R13,A,O,2021,https://bldg.ibpls.com/lasnievesagusandelnorte/,https://co.ibpls.com/lasnievesagusandelnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Trento, Agusan del Sur",,,,,,16-003-12-000,16-03-12-000,"Trento, Agusan del Sur",Trento,Agusan del Sur,Region XIII (Caraga),Municipality,1st,R13,B,O,2021,https://bldg.ibpls.com/trentoagusandelsur,https://co.ibpls.com/trentoagusandelsur,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Socorro, Surigao del Norte",,,,,,16-067-23-000,16-67-23-000,"Socorro, Surigao del Norte",Socorro,Surigao del Norte,Region XIII (Caraga),Municipality,4th,R13,B,O,2021,https://bldg.ibpls.com/socorrosurigaodelnorte,https://co.ibpls.com/socorrosurigaodelnorte,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tagana-An, Surigao del Norte",,,,,,16-067-25-000,16-67-25-000,"Tagana-An, Surigao del Norte",Tagana-An,Surigao del Norte,Region XIII (Caraga),Municipality,5th*,R13,A,O,2022,https://bldg.ibpls.com/taganaansurigaodelnorte/,https://co.ibpls.com/taganaansurigaodelnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tubod, Surigao del Norte",,,,,,16-067-27-000,16-67-27-000,"Tubod, Surigao del Norte",Tubod,Surigao del Norte,Region XIII (Caraga),Municipality,5th,R13,A,O,2022,https://bldg.ibpls.com/tubodsurigaodelnorte/,https://co.ibpls.com/tubodsurigaodelnorte/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bayabas, Surigao del Sur",,,,,,16-068-02-000,16-68-02-000,"Bayabas, Surigao del Sur",Bayabas,Surigao del Sur,Region XIII (Caraga),Municipality,5th,R13,A,O,2022,https://bldg.ibpls.com/bayabassurigaodelsur/,https://co.ibpls.com/bayabassurigaodelsur/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Carmen, Surigao del Sur",,,,,,16-068-06-000,16-68-06-000,"Carmen, Surigao del Sur",Carmen,Surigao del Sur,Region XIII (Caraga),Municipality,5th,R13,A,O,2022,https://bldg.ibpls.com/carmensurigaodelsur/,https://co.ibpls.com/carmensurigaodelsur/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lingig, Surigao del Sur",,,,,,16-068-12-000,16-68-12-000,"Lingig, Surigao del Sur",Lingig,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,B,O,2022,https://bldg.ibpls.com/lingigsurigaodelsur,https://co.ibpls.com/lingigsurigaodelsur,,#N/A,#N/A,#N/A,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,[7] To Follow-up,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Agustin, Surigao del Sur",,,,,,16-068-15-000,16-68-15-000,"San Agustin, Surigao del Sur",San Agustin,Surigao del Sur,Region XIII (Caraga),Municipality,4th,R13,A,O,2021,https://bldg.ibpls.com/sanagustinsurigaodelsur,https://co.ibpls.com/sanagustinsurigaodelsur,2022-12,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Miguel, Surigao del Sur",,,,,,16-068-16-000,16-68-16-000,"San Miguel, Surigao del Sur",San Miguel,Surigao del Sur,Region XIII (Caraga),Municipality,1st,R13,B,O,2021,https://bldg.ibpls.com/sanmiguelsurigaodelsur,https://co.ibpls.com/sanmiguelsurigaodelsur,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tagbina, Surigao del Sur",,,,,,16-068-17-000,16-68-17-000,"Tagbina, Surigao del Sur",Tagbina,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,A,O,2021,https://bldg.ibpls.com/tagbinasurigaodelsur/,https://co.ibpls.com/tagbinasurigaodelsur/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tago, Surigao del Sur",,,,,,16-068-18-000,16-68-18-000,"Tago, Surigao del Sur",Tago,Surigao del Sur,Region XIII (Caraga),Municipality,2nd,R13,B,O,2021,https://bldg.ibpls.com/tagosurigaodelsur,https://co.ibpls.com/tagosurigaodelsur,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Ilagan, Isabela",,,,,,02-031-14-000,02-31-14-000,"City of Ilagan, Isabela",City of Ilagan,Isabela,Region II (Cagayan Valley),City,1st (as Mun),R2,A,D,2020,https://bldg.ibpls.com/ilaganisabela/,https://co.ibpls.com/ilaganisabela/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aurora, Isabela",,,,,,02-031-03-000,02-31-03-000,"Aurora, Isabela",Aurora,Isabela,Region II (Cagayan Valley),Municipality,3rd,R2,B,D,2023,https://bldg.ibpls.com/auroraisabela/,https://co.ibpls.com/auroraisabela/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Limay, Bataan",,,,,,03-008-06-000,03-08-06-000,"Limay, Bataan",Limay,Bataan,Region III (Central Luzon),Municipality,1st,R3,B,E,2021,https://bldg.ibpls.com/limaybataan,https://co.ibpls.com/limaybataan,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Meycauayan, Bulacan",,,,,,03-014-12-000,03-14-12-000,"City of Meycauayan, Bulacan",City of Meycauayan,Bulacan,Region III (Central Luzon),City,3rd,R3,B,E,2022,https://bldg.ibpls.com/meycauayanbulacan,https://co.ibpls.com/meycauayanbulacan/,,#N/A,#N/A,#N/A,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,[8] Withdraw,[D] Withdraw,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Norzagaray, Bulacan",,,,,,03-014-13-000,03-14-13-000,"Norzagaray, Bulacan",Norzagaray,Bulacan,Region III (Central Luzon),Municipality,1st,R3,A,E,2021,https://bldg.ibpls.com/norzagaraybulacan/,https://co.ibpls.com/norzagaraybulacan/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gabaldon, Nueva Ecija",,,,,,03-049-07-000,03-49-07-000,"Gabaldon, Nueva Ecija",Gabaldon,Nueva Ecija,Region III (Central Luzon),Municipality,4th,R3,B,E,2021,https://bldg.ibpls.com/gabaldonnuevaecija,https://co.ibpls.com/gabaldonnuevaecija,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Palayan, Nueva Ecija",,,,,,03-049-19-000,03-49-19-000,"City of Palayan, Nueva Ecija",City of Palayan,Nueva Ecija,Region III (Central Luzon),City,5th,R3,B,E,2022,https://bldg.ibpls.com/palayannuevaecija,https://co.ibpls.com/palayannuevaecija,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Zaragoza, Nueva Ecija",,,,,,03-049-32-000,03-49-32-000,"Zaragoza, Nueva Ecija",Zaragoza,Nueva Ecija,Region III (Central Luzon),Municipality,3rd,R3,B,E,2021,https://bldg.ibpls.com/zaragozanuevaecija,https://co.ibpls.com/zaragozanuevaecija,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Arayat, Pampanga",,,,,,03-054-03-000,03-54-03-000,"Arayat, Pampanga",Arayat,Pampanga,Region III (Central Luzon),Municipality,1st,R3,A,E,2021,https://bldg.ibpls.com/arayatpampanga/,https://co.ibpls.com/arayatpampanga/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Macabebe, Pampanga",,,,,,03-054-10-000,03-54-10-000,"Macabebe, Pampanga",Macabebe,Pampanga,Region III (Central Luzon),Municipality,1st,R3,B,E,2021,https://bldg.ibpls.com/macabebepampanga,https://co.ibpls.com/macabebepampanga,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Luis, Pampanga",,,,,,03-054-17-000,03-54-17-000,"San Luis, Pampanga",San Luis,Pampanga,Region III (Central Luzon),Municipality,3rd,R3,B,E,2021,https://bldg.ibpls.com/sanluispampanga,https://co.ibpls.com/sanluispampanga,,#N/A,#N/A,#N/A,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,[6] With Concerns,[C] For Training/Others,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gerona, Tarlac",,,,,,03-069-06-000,03-69-06-000,"Gerona, Tarlac",Gerona,Tarlac,Region III (Central Luzon),Municipality,1st,R3,B,E,2021,https://bldg.ibpls.com/geronatarlac/,https://co.ibpls.com/geronatarlac/,,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Santa Ignacia, Tarlac",,,,,,03-069-15-000,03-69-15-000,"Santa Ignacia, Tarlac",Santa Ignacia,Tarlac,Region III (Central Luzon),Municipality,2nd,R3,A,E,2021,https://bldg.ibpls.com/santaignaciatarlac/,https://co.ibpls.com/santaignaciatarlac/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Iba, Zambales",,,,,,03-071-05-000,03-71-05-000,"Iba, Zambales",Iba,Zambales,Region III (Central Luzon),Municipality,2nd,R3,B,E,2022,https://bldg.ibpls.com/ibazambales,https://co.ibpls.com/ibazambales,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Antonio, Zambales",,,,,,03-071-09-000,03-71-09-000,"San Antonio, Zambales",San Antonio,Zambales,Region III (Central Luzon),Municipality,2nd,R3,B,E,2022,https://bldg.ibpls.com/sanantoniozambales,https://co.ibpls.com/sanantoniozambales,,#N/A,#N/A,#N/A,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,[2] Pilot Testing,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Narciso, Zambales",,,,,,03-071-12-000,03-71-12-000,"San Narciso, Zambales",San Narciso,Zambales,Region III (Central Luzon),Municipality,4th,R3,A,E,2021,https://bldg.ibpls.com/sannarcisozambales/,https://co.ibpls.com/sannarcisozambales/,2022-12,#N/A,#N/A,#N/A,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
