,ENGAGEMENT STATUS,,,,,LGU PROFILE,,,,,,,,,,DECEMBER 2024,,JANUARY 2025,,FEBRUARY 2025,,,MARCH 2025,,,APRIL 2025,,,MAY 2025,,,JUNE 2025,,,JULY 2025,,,AUGUST 2025,,,SEPTEMBER 2025,,,OCTOBER 2025,,,NOVEMBER 2025,,,DECEMBER 2025,,
"Pitogo, Quezon",2023,2023-02,,,,04-056-34-000,04-56-34-000,Pitogo,Quezon,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Quezon, Quezon",2023,2023-02,,,,04-056-37-000,04-56-37-000,Quezon,Quezon,Region IV-A (CALABARZON),Municipality,5th,R4A,B,F,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Laoag, Ilocos Norte",2023,2023-03,,,,01-028-12-000,01-28-12-000,City of Laoag,Ilocos Norte,Region I (Ilocos Region),City,3rd,R1,B,C,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of San Jose Del Monte, Bulacan",2023,2023-03,,,,03-014-20-000,03-14-20-000,City of San Jose Del Monte,Bulacan,Region III (Central Luzon),City,1st,R3,B,E,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Luis, Batangas",2023,2023-03,,,,04-010-24-000,04-10-24-000,San Luis,Batangas,Region IV-A (CALABARZON),Municipality,4th,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gumaca, Quezon",2023,2023-03,,,,04-056-19-000,04-56-19-000,Gumaca,Quezon,Region IV-A (CALABARZON),Municipality,1st,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,[1] Operational,[A] Operational,Operational but not utilized,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Polillo, Quezon",2023,2023-03,,,,04-056-36-000,04-56-36-000,Polillo,Quezon,Region IV-A (CALABARZON),Municipality,3rd,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Alcoy, Cebu",2023,2023-03,,,,07-022-02-000,07-22-02-000,Alcoy,Cebu,Region VII (Central Visayas),Municipality,5th,R7,B,J,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Madridejos, Cebu",2023,2023-03,,,,07-022-28-000,07-22-28-000,Madridejos,Cebu,Region VII (Central Visayas),Municipality,4th,R7,B,J,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Basay, Negros Oriental",2023,2023-03,,,,07-046-05-000,07-46-05-000,Basay,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sibulan, Negros Oriental",2023,2023-03,,,,07-046-20-000,07-46-20-000,Sibulan,Negros Oriental,Region VII (Central Visayas),Municipality,2nd,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Enrique Villanueva, Siquijor",2023,2023-03,,,,07-061-01-000,07-61-01-000,Enrique Villanueva,Siquijor,Region VII (Central Visayas),Municipality,5th,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[1] Operational,[A] Operational,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Libungan, Cotabato",2023,2023-03,,,,12-047-05-000,12-47-05-000,Libungan,Cotabato,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Matalam, Cotabato",2023,2023-03,,,,12-047-08-000,12-47-08-000,Matalam,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Pikit, Cotabato",2023,2023-03,,,,12-047-12-000,12-47-12-000,Pikit,Cotabato,Region XII (SOCCSKSARGEN),Municipality,1st,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Antipas, Cotabato",2023,2023-03,,,,12-047-15-000,12-47-15-000,Antipas,Cotabato,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Lambayong, Sultan Kudarat",2023,2023-03,,,,12-065-08-000,12-65-08-000,Lambayong,Sultan Kudarat,Region XII (SOCCSKSARGEN),Municipality,2nd,R12,B,Q,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Dauin, Negros Oriental",2023,2023-04,,,,07-046-09-000,07-46-09-000,Dauin,Negros Oriental,Region VII (Central Visayas),Municipality,4th,R7,B,J,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[2] Ongoing Testing and Data Build-up,[B] Developmental,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Mabinay, Negros Oriental",2023,2023-04,,,,07-046-14-000,07-46-14-000,Mabinay,Negros Oriental,Region VII (Central Visayas),Municipality,1st,R7,B,J,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,[1] Operational,[A] Operational,On hold data build-up; WP still not in the LGU's ordinance yet. Still deciding if they will continue the WP,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tuburan, Cebu",2023,2023-04,,,,07-022-52-000,07-22-52-000,Tuburan,Cebu,Region VII (Central Visayas),Municipality,2nd,R7,B,J,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Aborlan, Palawan",2023,2023-04,,,,17-053-01-000,17-53-01-000,Aborlan,Palawan,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[3] With Concerns,[A] Operational,[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the LRC to fully adpot and Integrate the system",[3] With Concerns,[A] Operational,"WP integrated on the system, waiting to complete the LRC to fully adpot and Integrate the system",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bansud, Oriental Mindoro",2023,2023-04,,,,17-052-02-000,17-52-02-000,Bansud,Oriental Mindoro,MIMAROPA Region,Municipality,2nd,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Ferrol, Romblon",2023,2023-04,,,,17-059-16-000,17-59-16-000,Ferrol,Romblon,MIMAROPA Region,Municipality,6th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Gloria, Oriental Mindoro",2023,2023-04,,,,17-052-06-000,17-52-06-000,Gloria,Oriental Mindoro,MIMAROPA Region,Municipality,3rd,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Jose, Occidental Mindoro",2023,2023-04,,,,17-051-10-000,17-51-10-000,San Jose,Occidental Mindoro,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Medina, Misamis Oriental",2023,2023-04,,,,10-043-19-000,10-43-19-000,Medina,Misamis Oriental,Region X (Northern Mindanao),Municipality,4th,R10,B,N,#N/A,#N/A,[3] With Concerns,[A] Operational,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,Waiting for PMT go signal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Jasaan, Misamis Oriental",2023,2023-04,,,,10-043-11-000,10-43-11-000,Jasaan,Misamis Oriental,Region X (Northern Mindanao),Municipality,2nd,R10,B,N,#N/A,#N/A,[3] With Concerns,[A] Operational,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,Waiting for PMT go signal,[3] With Concerns,[A] Operational,,[3] With Concerns,[A] Operational,Waiting for PMT go signal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Siniloan, Laguna",2023,2023-05,,,,04-034-29-000,04-34-29-000,Siniloan,Laguna,Region IV-A (CALABARZON),Municipality,2nd,R4A,B,F,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Tublay, Benguet",2023,2023-05,,,,14-011-14-000,14-11-14-000,Tublay,Benguet,Cordillera Administrative Region (CAR),Municipality,5th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Francisco, Cebu",,,,,,07-022-42-000,07-22-42-000,San Francisco,Cebu,Region VII (Central Visayas),Municipality,3rd,R7,B,J,#N/A,#N/A,[2] Ongoing Testing and Data Build-up,[B] Developmental,[2] Ongoing Testing and Data Build-up,[B] Developmental,,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,[2] Ongoing Testing and Data Build-up,[B] Developmental,LGU is working out an ordinance for the Working Permit/Occupational Permit; will priortiize implementing the WP next year,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Barbaza, Antique",,,,,,06-006-02-000,06-06-02-000,Barbaza,Antique,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"City of Himamaylan, Negros Occidental",,,,,,06-045-10-000,06-45-10-000,City of Himamaylan,Negros Occidental,Region VI (Western Visayas),City,3rd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Laua-An, Antique",,,,,,06-006-09-000,06-06-09-000,Laua-An,Antique,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Miguel, Iloilo",,,,,,06-030-41-000,06-30-41-000,San Miguel,Iloilo,Region VI (Western Visayas),Municipality,4th,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Sibalom, Antique",,,,,,06-006-16-000,06-06-16-000,Sibalom,Antique,Region VI (Western Visayas),Municipality,2nd,R6,B,I,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Las Nieves, Agusan del Norte",,,,,,16-002-07-000,16-02-07-000,Las Nieves,Agusan del Norte,Region XIII (Caraga),Municipality,2nd,R13,B,O,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Looc, Occidental Mindoro",,,,,,17-051-03-000,17-51-03-000,Looc,Occidental Mindoro,MIMAROPA Region,Municipality,5th,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Vicente, Palawan",,,,,,17-053-19-000,17-53-19-000,San Vicente,Palawan,MIMAROPA Region,Municipality,1st,R4B,B,G,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"San Isidro, Davao Oriental",,,,,,11-025-10-000,11-25-10-000,San Isidro,Davao Oriental,Region XI (Davao Region),Municipality,3rd,R11,B,P,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
"Bauko, Mountain Province",,,,,,14-044-02-000,14-44-02-000,Bauko,Mountain Province,Cordillera Administrative Region (CAR),Municipality,4th,CAR,B,B,#N/A,#N/A,[1] Operational,[A] Operational,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,[1] Operational,[A] Operational,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
