ID,,REPORTING PERIOD,,MONTHLY UTILIZATION STATUS,,,,,,,,LGU PROFILE,,,,,,,,
REPORT,PERIOD,YEAR,MONTH,LGU FULL NAME,MONTHLY STATUS,PROGRESS RATE,CONCERNS,ACTION ITEMS,OTHER REMARKS,UNIVERSAL STATUS,MPAR,GEOCODE,C/M,PROVINCE,REGION,DISTRICT,LEVEL,INCOME CLASS,DICT RO,SORT
[2024-07] 06-030-21-000,2024-07,2024,[07] July,"Igbaras, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-21-000,Igbaras,Iloilo,Region VI (Western Visayas),1st,Municipality,3rd,R6,I
[2024-08] 06-030-21-000,2024-08,2024,[08] August,"Igbaras, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-21-000,Igbaras,Iloilo,Region VI (Western Visayas),1st,Municipality,3rd,R6,I
[2024-09] 06-030-21-000,2024-09,2024,[09] September,"Igbaras, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-21-000,Igbaras,Iloilo,Region VI (Western Visayas),1st,Municipality,3rd,R6,I
[2023-12] 06-030-21-000,2023-12,2023,[12] December,"Igbaras, Iloilo",[1] Operational,,,,,[A] Operational,A,06-030-21-000,Igbaras,Iloilo,Region VI (Western Visayas),1st,Municipality,3rd,R6,I
[2024-01] 02-015-15-000,2024-01,2024,[01] January,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-02] 02-015-15-000,2024-02,2024,[02] February,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-03] 02-015-15-000,2024-03,2024,[03] March,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-04] 02-015-15-000,2024-04,2024,[04] April,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-05] 02-015-15-000,2024-05,2024,[05] May,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-06] 02-015-15-000,2024-06,2024,[06] June,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-07] 02-015-15-000,2024-07,2024,[07] July,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-08] 02-015-15-000,2024-08,2024,[08] August,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-09] 02-015-15-000,2024-09,2024,[09] September,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2023-12] 02-015-15-000,2023-12,2023,[12] December,"Iguig, Cagayan",[1] Operational,,,,,[A] Operational,A,02-015-15-000,Iguig,Cagayan,Region II (Cagayan Valley),3rd,Municipality,4th,R2,D
[2024-01] 09-083-04-000,2024-01,2024,[01] January,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-02] 09-083-04-000,2024-02,2024,[02] February,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-03] 09-083-04-000,2024-03,2024,[03] March,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-04] 09-083-04-000,2024-04,2024,[04] April,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-05] 09-083-04-000,2024-05,2024,[05] May,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-06] 09-083-04-000,2024-06,2024,[06] June,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-07] 09-083-04-000,2024-07,2024,[07] July,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-08] 09-083-04-000,2024-08,2024,[08] August,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-09] 09-083-04-000,2024-09,2024,[09] September,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2023-12] 09-083-04-000,2023-12,2023,[12] December,"Imelda, Zamboanga Sibugay",[1] Operational,,,,,[A] Operational,A,09-083-04-000,Imelda,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),1st,Municipality,4th,R9,L
[2024-01] 10-013-05-000,2024-01,2024,[01] January,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-02] 10-013-05-000,2024-02,2024,[02] February,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-03] 10-013-05-000,2024-03,2024,[03] March,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-04] 10-013-05-000,2024-04,2024,[04] April,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-05] 10-013-05-000,2024-05,2024,[05] May,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-06] 10-013-05-000,2024-06,2024,[06] June,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-07] 10-013-05-000,2024-07,2024,[07] July,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-08] 10-013-05-000,2024-08,2024,[08] August,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-09] 10-013-05-000,2024-09,2024,[09] September,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2023-12] 10-013-05-000,2023-12,2023,[12] December,"Impasug-ong, Bukidnon",[1] Operational,,,,,[A] Operational,A,10-013-05-000,Impasug-ong,Bukidnon,Region X (Northern Mindanao),2nd ,Municipality,1st,R10,N
[2024-01] 07-012-24-000,2024-01,2024,[01] January,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-02] 07-012-24-000,2024-02,2024,[02] February,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-03] 07-012-24-000,2024-03,2024,[03] March,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-04] 07-012-24-000,2024-04,2024,[04] April,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-05] 07-012-24-000,2024-05,2024,[05] May,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-06] 07-012-24-000,2024-06,2024,[06] June,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-07] 07-012-24-000,2024-07,2024,[07] July,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-08] 03-049-05-000,2024-08,2024,[08] August,"Carranglan, Nueva Ecija",[8] Withdraw,,,"Received withdrawal letter Feb..15, 2023
The instance has already been deleted.",for eLGU Implementation,[D] Withdraw,B,03-049-05-000,Carranglan,Nueva Ecija,Region III (Central Luzon),2nd,Municipality,1st,R3,E
[2024-09] 07-012-24-000,2024-09,2024,[09] September,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2023-12] 07-012-24-000,2023-12,2023,[12] December,"Inabanga, Bohol",[8] Withdraw,,,,,[D] Withdraw,B,07-012-24-000,Inabanga,Bohol,Region VII (Central Visayas),2nd ,Municipality,3rd,R7,J
[2024-01] 04-021-10-000,2024-01,2024,[01] January,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-02] 04-021-10-000,2024-02,2024,[02] February,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-03] 04-021-10-000,2024-03,2024,[03] March,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-04] 04-021-10-000,2024-04,2024,[04] April,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-05] 04-021-10-000,2024-05,2024,[05] May,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-06] 04-021-10-000,2024-06,2024,[06] June,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-07] 04-021-10-000,2024-07,2024,[07] July,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-08] 04-021-10-000,2024-08,2024,[08] August,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-09] 04-021-10-000,2024-09,2024,[09] September,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2023-12] 04-021-10-000,2023-12,2023,[12] December,"Indang, Cavite",[1] Operational,,,,,[A] Operational,A,04-021-10-000,Indang,Cavite,Region IV-A (CALABARZON),7th,Municipality,1st,R4A,F
[2024-01] 01-055-20-000,2024-01,2024,[01] January,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-02] 01-055-20-000,2024-02,2024,[02] February,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-03] 01-055-20-000,2024-03,2024,[03] March,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-04] 01-055-20-000,2024-04,2024,[04] April,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-05] 01-055-20-000,2024-05,2024,[05] May,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-06] 01-055-20-000,2024-06,2024,[06] June,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-07] 01-055-20-000,2024-07,2024,[07] July,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-08] 01-055-20-000,2024-08,2024,[08] August,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-09] 01-055-20-000,2024-09,2024,[09] September,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2023-12] 01-055-20-000,2023-12,2023,[12] December,"Infanta, Pangasinan",[1] Operational,,,,,[A] Operational,A,01-055-20-000,Infanta,Pangasinan,Region I (Ilocos Region),1st,Municipality,3rd,R1,C
[2024-01] 04-056-20-000,2024-01,2024,[01] January,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-02] 04-056-20-000,2024-02,2024,[02] February,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-03] 04-056-20-000,2024-03,2024,[03] March,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-04] 04-056-20-000,2024-04,2024,[04] April,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-05] 04-056-20-000,2024-05,2024,[05] May,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-06] 04-056-20-000,2024-06,2024,[06] June,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-07] 04-056-20-000,2024-07,2024,[07] July,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-08] 04-056-20-000,2024-08,2024,[08] August,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-09] 04-056-20-000,2024-09,2024,[09] September,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2023-12] 04-056-20-000,2023-12,2023,[12] December,"Infanta, Quezon",[1] Operational,,,,,[A] Operational,A,04-056-20-000,Infanta,Quezon,Region IV-A (CALABARZON),1st,Municipality,1st,R4A,F
[2024-01] 08-037-21-000,2024-01,2024,[01] January,"Inopacan, Leyte",[1] Operational,,,,Normal Operations ,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-02] 08-037-21-000,2024-02,2024,[02] February,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-03] 08-037-21-000,2024-03,2024,[03] March,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-04] 08-037-21-000,2024-04,2024,[04] April,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-05] 08-037-21-000,2024-05,2024,[05] May,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-06] 08-037-21-000,2024-06,2024,[06] June,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-07] 08-037-21-000,2024-07,2024,[07] July,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-08] 08-037-21-000,2024-08,2024,[08] August,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-09] 08-037-21-000,2024-09,2024,[09] September,"Inopacan, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2023-12] 08-037-21-000,2023-12,2023,[12] December,"Inopacan, Leyte",[1] Operational,,,,Zero Transactions for the month of December 2023,[A] Operational,A,08-037-21-000,Inopacan,Leyte,Region VIII (Eastern Visayas),5th,Municipality,4th,R8,K
[2024-01] 09-083-05-000,2024-01,2024,[01] January,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-02] 09-083-05-000,2024-02,2024,[02] February,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-03] 09-083-05-000,2024-03,2024,[03] March,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-04] 09-083-05-000,2024-04,2024,[04] April,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-05] 09-083-05-000,2024-05,2024,[05] May,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-06] 09-083-05-000,2024-06,2024,[06] June,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-07] 09-083-05-000,2024-07,2024,[07] July,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-08] 09-083-05-000,2024-08,2024,[08] August,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-09] 09-083-05-000,2024-09,2024,[09] September,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2023-12] 09-083-05-000,2023-12,2023,[12] December,"Ipil, Zamboanga Sibugay",[3] Ongoing Data Build-up,50%,,,,[B] Developmental,B,09-083-05-000,Ipil,Zamboanga Sibugay,Region IX (Zamboanga Peninsula),2nd,Municipality,1st,R9,L
[2024-01] 05-062-09-000,2024-01,2024,[01] January,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-02] 05-062-09-000,2024-02,2024,[02] February,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-03] 05-062-09-000,2024-03,2024,[03] March,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-04] 05-062-09-000,2024-04,2024,[04] April,"Irosin, Sorsogon",[3] Ongoing Data Build-up,75%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-05] 05-062-09-000,2024-05,2024,[05] May,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-06] 05-062-09-000,2024-06,2024,[06] June,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-07] 05-062-09-000,2024-07,2024,[07] July,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-08] 05-062-09-000,2024-08,2024,[08] August,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-09] 05-062-09-000,2024-09,2024,[09] September,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2023-12] 05-062-09-000,2023-12,2023,[12] December,"Irosin, Sorsogon",[3] Ongoing Data Build-up,70%,,,,[B] Developmental,A,05-062-09-000,Irosin,Sorsogon,Region V (Bicol Region),2nd,Municipality,2nd,R5,H
[2024-01] 08-037-22-000,2024-01,2024,[01] January,"Isabel, Leyte",[1] Operational,,,,Normal Operations ,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-02] 08-037-22-000,2024-02,2024,[02] February,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-03] 08-037-22-000,2024-03,2024,[03] March,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-04] 08-037-22-000,2024-04,2024,[04] April,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-05] 08-037-22-000,2024-05,2024,[05] May,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-06] 08-037-22-000,2024-06,2024,[06] June,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-07] 08-037-22-000,2024-07,2024,[07] July,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-08] 08-037-22-000,2024-08,2024,[08] August,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-09] 08-037-22-000,2024-09,2024,[09] September,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2023-12] 08-037-22-000,2023-12,2023,[12] December,"Isabel, Leyte",[1] Operational,,,,Normal Operations,[A] Operational,A,08-037-22-000,Isabel,Leyte,Region VIII (Eastern Visayas),4th,Municipality,1st,R8,K
[2024-01] 11-023-17-000,2024-01,2024,[01] January,"Island Garden City of Samal, Davao del Norte",[2] Pilot Testing,75%,,,"Still encoding, As of now we haven't heard any response to them. ",[B] Developmental,B,11-023-17-000,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),2nd,City,4th,R11,P
[2024-02] 11-023-17-000,2024-02,2024,[02] February,"Island Garden City of Samal, Davao del Norte",[2] Pilot Testing,75%,,,"Still waiting, no feedback",[B] Developmental,B,11-023-17-000,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),2nd,City,4th,R11,P
[2024-03] 11-023-17-000,2024-03,2024,[03] March,"Island Garden City of Samal, Davao del Norte",[2] Pilot Testing,75%,,,For withdrawal - waiting for formal letter,[B] Developmental,B,11-023-17-000,Island Garden City of Samal,Davao del Norte,Region XI (Davao Region),2nd,City,4th,R11,P
