REPORTING PERIOD,,,MONTHLY UTILIZATION STATUS,,LGU PROFILE,,,,,
2026-02,2026,[02] February,"Tuba, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-02,2026,[02] February,"Tublay, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-02,2026,[02] February,"Banaue, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-02,2026,[02] February,"Aliaga, Nueva Ecija",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-02,2026,[02] February,"Arayat, Pampanga",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-02,2026,[02] February,"Baler, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-02,2026,[02] February,"Bongabon, Nueva Ecija",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-02,2026,[02] February,"Casiguran, Aurora",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-02,2026,[02] February,"City of Olongapo, Zambales",[4] Withdraw,[D] Withdraw,1st,City,1st,R3,
2026-02,2026,[02] February,"City of San Jose Del Monte, Bulacan",[1] Live,[A] Live,1st,City,1st,R3,v1
2026-02,2026,[02] February,"Dilasag, Aurora",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R3,v1
2026-02,2026,[02] February,"Macabebe, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-02,2026,[02] February,"Magalang, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-02,2026,[02] February,"Mexico, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-02,2026,[02] February,"Rizal, Nueva Ecija",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-02,2026,[02] February,"San Luis, Pampanga",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-02,2026,[02] February,"San Narciso, Zambales",[1] Live,[A] Live,4th,Mun,4th,R3,v1
2026-02,2026,[02] February,"Santo Domingo, Nueva Ecija",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-02,2026,[02] February,"Talugtug, Nueva Ecija",[2] System Setup,[B] Developmental,4th,Mun,4th,R3,v1
2026-02,2026,[02] February,"Cabagan, Isabela",[1] Live,[A] Live,1st,Mun,1st,R2,v1
2026-02,2026,[02] February,"City of Ilagan, Isabela",[1] Live,[A] Live,1st,City,1st,R2,v1
2026-02,2026,[02] February,"San Manuel, Isabela",[1] Live,[A] Live,4th,Mun,4th,R2,v1
2026-02,2026,[02] February,"Sanchez-Mira, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-02,2026,[02] February,"Enrile, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-03,2026,[03] March,"Barbaza, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-03,2026,[03] March,"Cabatuan, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-03,2026,[03] March,"Laua-An, Antique",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-03,2026,[03] March,"Malay, Aklan",[1] Live,[A] Live,1st,Mun,1st,R6,v1
2026-03,2026,[03] March,"San Joaquin, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-03,2026,[03] March,"San Miguel, Iloilo",[1] Live,[A] Live,4th,Mun,4th,R6,v1
2026-03,2026,[03] March,"Sara, Iloilo",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-03,2026,[03] March,"Sibalom, Antique",[1] Live,[A] Live,2nd,Mun,2nd,R6,v1
2026-03,2026,[03] March,"Tangalan, Aklan",[1] Live,[A] Live,5th,Mun,5th,R6,v1
2026-03,2026,[03] March,"Alcoy, Cebu",[2] System Setup,[B] Developmental,5th,Mun,5th,R7,v1
2026-03,2026,[03] March,"Argao, Cebu",[1] Live,[A] Live,1st,Mun,1st,R7,v1
2026-03,2026,[03] March,"Jagna, Bohol",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-03,2026,[03] March,"Madridejos, Cebu",[2] System Setup,[B] Developmental,4th,Mun,4th,R7,v1
2026-03,2026,[03] March,"Pinamungajan, Cebu",[1] Live,[A] Live,2nd,Mun,2nd,R7,v1
2026-03,2026,[03] March,"San Francisco, Cebu",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R7,v1
2026-03,2026,[03] March,"Tuburan, Cebu",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R7,v1
2026-03,2026,[03] March,"Caoayan, Ilocos Sur",[1] Live,[A] Live,4th,Mun,4th,R1,v1
2026-03,2026,[03] March,"City of Laoag, Ilocos Norte",[1] Live,[A] Live,3rd,City,3rd,R1,v1
2026-03,2026,[03] March,"San Nicolas, Ilocos Norte",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R1,v1
2026-03,2026,[03] March,"Santa Cruz, Ilocos Sur",[2] System Setup,[B] Developmental,1st,Mun,1st,R1,v1
2026-03,2026,[03] March,"Sison, Pangasinan",[1] Live,[A] Live,3rd,Mun,3rd,R1,v1
2026-03,2026,[03] March,"City of Batac, Ilocos Norte",[2] System Setup,[B] Developmental,5th,City,5th,R1,v1
2026-03,2026,[03] March,"Aliaga, Nueva Ecija",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-03,2026,[03] March,"Arayat, Pampanga",[1] Live,[A] Live,1st,Mun,1st,R3,v1
2026-03,2026,[03] March,"Baler, Aurora",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-03,2026,[03] March,"Bongabon, Nueva Ecija",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-03,2026,[03] March,"Casiguran, Aurora",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R3,v1
2026-03,2026,[03] March,"City of Olongapo, Zambales",[4] Withdraw,[D] Withdraw,1st,City,1st,R3,
2026-03,2026,[03] March,"City of San Jose Del Monte, Bulacan",[1] Live,[A] Live,1st,City,1st,R3,v1
2026-03,2026,[03] March,"Dilasag, Aurora",[2] System Setup,[B] Developmental,3rd,Mun,3rd,R3,v1
2026-03,2026,[03] March,"Macabebe, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-03,2026,[03] March,"Magalang, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-03,2026,[03] March,"Mexico, Pampanga",[2] System Setup,[B] Developmental,1st,Mun,1st,R3,v1
2026-03,2026,[03] March,"Rizal, Nueva Ecija",[1] Live,[A] Live,2nd,Mun,2nd,R3,v1
2026-03,2026,[03] March,"San Luis, Pampanga",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-03,2026,[03] March,"San Narciso, Zambales",[1] Live,[A] Live,4th,Mun,4th,R3,v1
2026-03,2026,[03] March,"Santo Domingo, Nueva Ecija",[1] Live,[A] Live,3rd,Mun,3rd,R3,v1
2026-03,2026,[03] March,"Talugtug, Nueva Ecija",[2] System Setup,[B] Developmental,4th,Mun,4th,R3,v1
2026-03,2026,[03] March,"Bauko, Mountain Province",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-03,2026,[03] March,"Bontoc, Mountain Province",[1] Live,[A] Live,2nd,Mun,2nd,CAR,v1
2026-03,2026,[03] March,"City of Tabuk, Kalinga",[1] Live,[A] Live,5th,City,5th,CAR,v1
2026-03,2026,[03] March,"Hungduan, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-03,2026,[03] March,"Lamut, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-03,2026,[03] March,"Mankayan, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-03,2026,[03] March,"Pudtol, Apayao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-03,2026,[03] March,"Sablan, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-03,2026,[03] March,"Tuba, Benguet",[1] Live,[A] Live,1st,Mun,1st,CAR,v1
2026-03,2026,[03] March,"Tublay, Benguet",[1] Live,[A] Live,5th,Mun,5th,CAR,v1
2026-03,2026,[03] March,"Banaue, Ifugao",[1] Live,[A] Live,4th,Mun,4th,CAR,v1
2026-03,2026,[03] March,"Cabagan, Isabela",[1] Live,[A] Live,1st,Mun,1st,R2,v1
2026-03,2026,[03] March,"City of Ilagan, Isabela",[1] Live,[A] Live,1st,City,1st,R2,v1
2026-03,2026,[03] March,"San Manuel, Isabela",[1] Live,[A] Live,4th,Mun,4th,R2,v1
2026-03,2026,[03] March,"Sanchez-Mira, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-03,2026,[03] March,"Enrile, Cagayan",[1] Live,[A] Live,3rd,Mun,3rd,R2,v1
2026-03,2026,[03] March,"Claveria, Misamis Oriental",[1] Live,[A] Live,1st,Mun,1st,R10,v1
2026-03,2026,[03] March,"Jasaan, Misamis Oriental",N/A,#N/A,2nd,Mun,2nd,R10,
2026-03,2026,[03] March,"Medina, Misamis Oriental",N/A,#N/A,4th,Mun,4th,R10,
2026-03,2026,[03] March,"Alabat, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-03,2026,[03] March,"Alfonso, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Amadeo, Cavite",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-03,2026,[03] March,"Balayan, Batangas",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Cardona, Rizal",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-03,2026,[03] March,"Famy, Laguna",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-03,2026,[03] March,"General Emilio Aguinaldo, Cavite",[2] System Setup,[B] Developmental,5th,Mun,5th,R4A,v1
2026-03,2026,[03] March,"General Luna, Quezon",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-03,2026,[03] March,"General Nakar, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Gumaca, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Infanta, Quezon",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Lobo, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-03,2026,[03] March,"Magallanes, Cavite",[2] System Setup,[B] Developmental,4th,Mun,4th,R4A,v1
2026-03,2026,[03] March,"Naic, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Paete, Laguna",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-03,2026,[03] March,"Pitogo, Quezon",[2] System Setup,[B] Developmental,4th,Mun,4th,R4A,v1
2026-03,2026,[03] March,"Polillo, Quezon",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-03,2026,[03] March,"Quezon, Quezon",[2] System Setup,[B] Developmental,5th,Mun,5th,R4A,v1
2026-03,2026,[03] March,"Rosario, Cavite",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Sampaloc, Quezon",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-03,2026,[03] March,"San Luis, Batangas",[1] Live,[A] Live,4th,Mun,4th,R4A,v1
2026-03,2026,[03] March,"San Nicolas, Batangas",[1] Live,[A] Live,5th,Mun,5th,R4A,v1
2026-03,2026,[03] March,"Siniloan, Laguna",[1] Live,[A] Live,2nd,Mun,2nd,R4A,v1
2026-03,2026,[03] March,"Tanay, Rizal",[1] Live,[A] Live,1st,Mun,1st,R4A,v1
2026-03,2026,[03] March,"Tuy, Batangas",[1] Live,[A] Live,3rd,Mun,3rd,R4A,v1
2026-03,2026,[03] March,"Bansalan, Davao del Sur",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-03,2026,[03] March,"Cateel, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-03,2026,[03] March,"City of Digos, Davao del Sur",[1] Live,[A] Live,2nd,City,2nd,R11,v1
2026-03,2026,[03] March,"Laak, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-03,2026,[03] March,"Lupon, Davao Oriental",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-03,2026,[03] March,"Manay, Davao Oriental",[1] Live,[A] Live,2nd,Mun,2nd,R11,v1
2026-03,2026,[03] March,"Mawab, Davao de Oro",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-03,2026,[03] March,"New Bataan, Davao de Oro",[1] Live,[A] Live,1st,Mun,1st,R11,v1
2026-03,2026,[03] March,"San Isidro, Davao Oriental",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-03,2026,[03] March,"Sulop, Davao del Sur",[1] Live,[A] Live,3rd,Mun,3rd,R11,v1
2026-03,2026,[03] March,"Basay, Negros Oriental",[1] Live,[A] Live,4th,Mun,4th,NIR,v1
2026-03,2026,[03] March,"Dauin, Negros Oriental",[2] System Setup,[B] Developmental,4th,Mun,4th,NIR,v1
2026-03,2026,[03] March,"Enrique Villanueva, Siquijor",[1] Live,[A] Live,5th,Mun,5th,NIR,v1
2026-03,2026,[03] March,"Mabinay, Negros Oriental",[1] Live,[A] Live,1st,Mun,1st,NIR,v1
2026-03,2026,[03] March,"Sibulan, Negros Oriental",[1] Live,[A] Live,2nd,Mun,2nd,NIR,v1
2026-03,2026,[03] March,"City of Himamaylan, Negros Occidental",[1] Live,[A] Live,3rd,City,3rd,NIR,v1
2026-03,2026,[03] March,"Las Nieves, Agusan del Norte",[1] Live,[A] Live,2nd,Mun,2nd,R13,v1
2026-03,2026,[03] March,"San Francisco, Agusan del Sur",[1] Live,[A] Live,1st,Mun,1st,R13,v1
2026-03,2026,[03] March,"Abuyog, Leyte",[1] Live,[A] Live,1st,Mun,1st,R8,v1
2026-03,2026,[03] March,"Calbiga, Samar",[2] System Setup,[B] Developmental,4th,Mun,4th,R8,v1
2026-03,2026,[03] March,"City of Borongan, Eastern Samar",[1] Live,[A] Live,1st,City,1st,R8,v1
2026-03,2026,[03] March,"Mondragon, Northern Samar",[1] Live,[A] Live,3rd,Mun,3rd,R8,v1
2026-03,2026,[03] March,"Paranas, Samar",[2] System Setup,[B] Developmental,2nd,Mun,2nd,R8,v1
2026-03,2026,[03] March,"Pastrana, Leyte",[1] Live,[A] Live,5th,Mun,5th,R8,v1
2026-03,2026,[03] March,"San Roque, Northern Samar",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-03,2026,[03] March,"Santa Margarita, Samar",[1] Live,[A] Live,4th,Mun,4th,R8,v1
2026-03,2026,[03] March,"Sogod, Southern Leyte",[1] Live,[A] Live,2nd,Mun,2nd,R8,v1
2026-03,2026,[03] March,"Upi, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-03,2026,[03] March,"Parang, Maguindanao del Norte",[1] Live,[A] Live,1st,Mun,1st,BARMM II,v1
2026-03,2026,[03] March,"Antipas, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-03,2026,[03] March,"Bagumbayan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Columbio, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Esperanza, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Isulan, Sultan Kudarat",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Kabacan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Lambayong, Sultan Kudarat",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-03,2026,[03] March,"Libungan, Cotabato",[1] Live,[A] Live,2nd,Mun,2nd,R12,v1
2026-03,2026,[03] March,"Malapatan, Sarangani",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Matalam, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Pigkawayan, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Pikit, Cotabato",[1] Live,[A] Live,1st,Mun,1st,R12,v1
2026-03,2026,[03] March,"Aborlan, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Baco, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-03,2026,[03] March,"Bansud, Oriental Mindoro",[1] Live,[A] Live,2nd,Mun,2nd,R4B,v1
2026-03,2026,[03] March,"Bongabong, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Bulalacao, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-03,2026,[03] March,"Coron, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Culion, Palawan",[3] With Concerns,[A] Live,3rd,Mun,3rd,R4B,v1
2026-03,2026,[03] March,"El Nido, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Ferrol, Romblon",[1] Live,[A] Live,6th,Mun,6th,R4B,v1
2026-03,2026,[03] March,"Gloria, Oriental Mindoro",[1] Live,[A] Live,3rd,Mun,3rd,R4B,v1
2026-03,2026,[03] March,"Looc, Occidental Mindoro",[1] Live,[A] Live,5th,Mun,5th,R4B,v1
2026-03,2026,[03] March,"Looc, Romblon",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-03,2026,[03] March,"Naujan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Pinamalayan, Oriental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Quezon, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"Rizal, Palawan",[3] With Concerns,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"San Jose, Occidental Mindoro",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
2026-03,2026,[03] March,"San Teodoro, Oriental Mindoro",[1] Live,[A] Live,4th,Mun,4th,R4B,v1
2026-03,2026,[03] March,"San Vicente, Palawan",[1] Live,[A] Live,1st,Mun,1st,R4B,v1
,,,"Akbar, Basilan",,,,,,,Not client
,,,"Al-Barka, Basilan",,,,,,,Not client
,,,"Bongao, Tawi-Tawi",,,,,,,Not client
,,,"City of Lamitan, Basilan",,,,,,,Not client
,,,"Hadji Mohammad Ajul, Basilan",,,,,,,Not client
,,,"Hadji Muhtamad, Basilan",,,,,,,Not client
,,,"Hadji Panglima Tahil, Sulu",,,,,,,Not client
,,,"Indanan, Sulu",,,,,,,Not client
,,,"Jolo, Sulu",,,,,,,Not client
,,,"Kalingalan Caluang, Sulu",,,,,,,Not client
,,,"Languyan, Tawi-Tawi",,,,,,,Not client
,,,"Lantawan, Basilan",,,,,,,Not client
,,,"Lugus, Sulu",,,,,,,Not client
,,,"Luuk, Sulu",,,,,,,Not client
,,,"Maimbung, Sulu",,,,,,,Not client
,,,"Maluso, Basilan",,,,,,,Not client
,,,"Mapun, Tawi-Tawi",,,,,,,Not client
,,,"Old Panamao, Sulu",,,,,,,Not client
,,,"Omar, Sulu",,,,,,,Not client
,,,"Pandami, Sulu",,,,,,,Not client
,,,"Panglima Estino, Sulu",,,,,,,Not client
,,,"Panglima Sugala, Tawi-Tawi",,,,,,,Not client
,,,"Pangutaran, Sulu",,,,,,,Not client
,,,"Parang, Sulu",,,,,,,Not client
,,,"Pata, Sulu",,,,,,,Not client
,,,"Patikul, Sulu",,,,,,,Not client
,,,"Sapa-Sapa, Tawi-Tawi",,,,,,,Not client
,,,"Siasi, Sulu",,,,,,,Not client
,,,"Sibutu, Tawi-Tawi",,,,,,,Not client
,,,"Simunul, Tawi-Tawi",,,,,,,Not client
,,,"Sitangkai, Tawi-Tawi",,,,,,,Not client
,,,"South Ubian, Tawi-Tawi",,,,,,,Not client
,,,"Sumisip, Basilan",,,,,,,Not client
,,,"Tabuan-Lasa, Basilan",,,,,,,Not client
,,,"Talipao, Sulu",,,,,,,Not client
,,,"Tandubas, Tawi-Tawi",,,,,,,Not client
,,,"Tapul, Sulu",,,,,,,Not client
,,,"Tipo-Tipo, Basilan",,,,,,,Not client
,,,"Tongkil, Sulu",,,,,,,Not client
,,,"Tuburan, Basilan",,,,,,,Not client
,,,"Turtle Islands, Tawi-Tawi",,,,,,,Not client
,,,"Ungkaya Pukan, Basilan",,,,,,,Not client
,,,"Amai Manabilang, Lanao del Sur",,,,,,,Not client
,,,"Ampatuan, Maguindanao del Sur",,,,,,,Not client
,,,"Bacolod-Kalawi, Lanao del Sur",,,,,,,Not client
,,,"Balabagan, Lanao del Sur",,,,,,,Not client
,,,"Balindong, Lanao del Sur",,,,,,,Not client
,,,"Barira, Maguindanao del Norte",,,,,,,Not client
,,,"Bayang, Lanao del Sur",,,,,,,Not client
,,,"Binidayan, Lanao del Sur",,,,,,,Not client
,,,"Buadiposo-Buntong, Lanao del Sur",,,,,,,Not client
,,,"Bubong, Lanao del Sur",,,,,,,Not client
,,,"Buldon, Maguindanao del Norte",,,,,,,Not client
,,,"Buluan, Maguindanao del Sur",,,,,,,Not client
,,,"Butig, Lanao del Sur",,,,,,,Not client
,,,"Calanogas, Lanao del Sur",,,,,,,Not client
,,,"City of Cotabato, Maguindanao del Norte",,,,,,,Not client
,,,"City of Marawi, Lanao del Sur",,,,,,,Not client
,,,"Datu Abdullah Sangki, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Anggal Midtimbang, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Blah T. Sinsuat, Maguindanao del Norte",,,,,,,Not client
,,,"Datu Hoffer Ampatuan, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Odin Sinsuat, Maguindanao del Norte",,,,,,,Not client
,,,"Datu Paglas, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Piang, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Salibo, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Saudi Ampatuan, Maguindanao del Sur",,,,,,,Not client
,,,"Datu Unsay, Maguindanao del Sur",,,,,,,Not client
,,,"Ditsaan-Ramain, Lanao del Sur",,,,,,,Not client
,,,"Ganassi, Lanao del Sur",,,,,,,Not client
,,,"Gen. S.K. Pendatun, Maguindanao del Sur",,,,,,,Not client
,,,"Guindulungan, Maguindanao del Sur",,,,,,,Not client
,,,"Kabuntalan, Maguindanao del Norte",,,,,,,Not client
,,,"Kadayangan, Special Geographic Area",,,,,,,Not client
,,,"Kapai, Lanao del Sur",,,,,,,Not client
,,,"Kapalawan, Special Geographic Area",,,,,,,Not client
,,,"Kapatagan, Lanao del Sur",,,,,,,Not client
,,,"Ligawasan, Special Geographic Area",,,,,,,Not client
,,,"Lumba-Bayabao, Lanao del Sur",,,,,,,Not client
,,,"Lumbaca-Unayan, Lanao del Sur",,,,,,,Not client
,,,"Lumbatan, Lanao del Sur",,,,,,,Not client
,,,"Lumbayanague, Lanao del Sur",,,,,,,Not client
,,,"Madalum, Lanao del Sur",,,,,,,Not client
,,,"Madamba, Lanao del Sur",,,,,,,Not client
,,,"Maguing, Lanao del Sur",,,,,,,Not client
,,,"Malabang, Lanao del Sur",,,,,,,Not client
,,,"Malidegao, Special Geographic Area",,,,,,,Not client
,,,"Mamasapano, Maguindanao del Sur",,,,,,,Not client
,,,"Mangudadatu, Maguindanao del Sur",,,,,,,Not client
,,,"Marantao, Lanao del Sur",,,,,,,Not client
,,,"Marogong, Lanao del Sur",,,,,,,Not client
,,,"Masiu, Lanao del Sur",,,,,,,Not client
,,,"Matanog, Maguindanao del Norte",,,,,,,Not client
,,,"Mulondo, Lanao del Sur",,,,,,,Not client
,,,"Nabalawag, Special Geographic Area",,,,,,,Not client
,,,"Northern Kabuntalan, Maguindanao del Norte",,,,,,,Not client
,,,"Old Kaabakan, Special Geographic Area",,,,,,,Not client
,,,"Pagagawan, Maguindanao del Sur",,,,,,,Not client
,,,"Pagalungan, Maguindanao del Sur",,,,,,,Not client
,,,"Pagayawan, Lanao del Sur",,,,,,,Not client
,,,"Paglat, Maguindanao del Sur",,,,,,,Not client
,,,"Pahamuddin, Special Geographic Area",,,,,,,Not client
,,,"Pandag, Maguindanao del Sur",,,,,,,Not client
,,,"Piagapo, Lanao del Sur",,,,,,,Not client
,,,"Picong, Lanao del Sur",,,,,,,Not client
,,,"Poona Bayabao, Lanao del Sur",,,,,,,Not client
,,,"Pualas, Lanao del Sur",,,,,,,Not client
,,,"Rajah Buayan, Maguindanao del Sur",,,,,,,Not client
,,,"Saguiaran, Lanao del Sur",,,,,,,Not client
,,,"Shariff Aguak, Maguindanao del Sur",,,,,,,Not client
,,,"Shariff Saydona Mustapha, Maguindanao del Sur",,,,,,,Not client
,,,"South Upi, Maguindanao del Sur",,,,,,,Not client
,,,"Sultan Dumalondong, Lanao del Sur",,,,,,,Not client
,,,"Sultan Kudarat, Maguindanao del Norte",,,,,,,Not client
,,,"Sultan Mastura, Maguindanao del Norte",,,,,,,Not client
,,,"Sultan Sa Barongis, Maguindanao del Sur",,,,,,,Not client
,,,"Tagoloan Ii, Lanao del Sur",,,,,,,Not client
,,,"Talayan, Maguindanao del Sur",,,,,,,Not client
,,,"Talitay, Maguindanao del Norte",,,,,,,Not client
,,,"Tamparan, Lanao del Sur",,,,,,,Not client
,,,"Taraka, Lanao del Sur",,,,,,,Not client
,,,"Tubaran, Lanao del Sur",,,,,,,Not client
,,,"Tugaya, Lanao del Sur",,,,,,,Not client
,,,"Tugunan, Special Geographic Area",,,,,,,Not client
,,,"Wao, Lanao del Sur",,,,,,,Not client
,,,"Aguinaldo, Ifugao",,,,,,,Not client
,,,"Alfonso Lista, Ifugao",,,,,,,Not client
,,,"Asipulo, Ifugao",,,,,,,Not client
,,,"Atok, Benguet",,,,,,,Not client
,,,"Bakun, Benguet",,,,,,,Not client
,,,"Balbalan, Kalinga",,,,,,,Not client
,,,"Bangued, Abra",,,,,,,Not client
,,,"Barlig, Mountain Province",,,,,,,Not client
,,,"Besao, Mountain Province",,,,,,,Not client
,,,"Bokod, Benguet",,,,,,,Not client
,,,"Boliney, Abra",,,,,,,Not client
,,,"Bucay, Abra",,,,,,,Not client
,,,"Bucloc, Abra",,,,,,,Not client
,,,"Buguias, Benguet",,,,,,,Not client
,,,"Calanasan, Apayao",,,,,,,Not client
,,,"City of Baguio, Benguet",,,,,,,Not client
,,,"Conner, Apayao",,,,,,,Not client
,,,"Daguioman, Abra",,,,,,,Not client
,,,"Danglas, Abra",,,,,,,Not client
,,,"Dolores, Abra",,,,,,,Not client
,,,"Flora, Apayao",,,,,,,Not client
,,,"Hingyon, Ifugao",,,,,,,Not client
,,,"Itogon, Benguet",,,,,,,Not client
,,,"Kabayan, Benguet",,,,,,,Not client
,,,"Kabugao, Apayao",,,,,,,Not client
,,,"Kapangan, Benguet",,,,,,,Not client
,,,"Kiangan, Ifugao",,,,,,,Not client
,,,"Kibungan, Benguet",,,,,,,Not client
,,,"La Paz, Abra",,,,,,,Not client
,,,"La Trinidad, Benguet",,,,,,,Not client
,,,"Lacub, Abra",,,,,,,Not client
,,,"Lagangilang, Abra",,,,,,,Not client
,,,"Lagawe, Ifugao",,,,,,,Not client
,,,"Lagayan, Abra",,,,,,,Not client
,,,"Langiden, Abra",,,,,,,Not client
